Caribou Biosciences Price to Free Cash Flow Ratio Historical Data,Caribou Biosciences Price to Free Cash Flow Ratio Historical Data,Caribou Biosciences Price to Free Cash Flow Ratio Historical Data,Caribou Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.0,,0.0
2024-12-31,1.59,$-1.58,0.0
2024-09-30,1.96,$-1.64,0.0
2024-06-30,1.64,$-1.46,0.0
2024-03-31,5.14,$-1.36,0.0
2023-12-31,5.73,$-1.42,0.0
2023-09-30,4.78,$-1.41,0.0
2023-06-30,4.25,$-1.61,0.0
2023-03-31,5.31,$-1.72,0.0
2022-12-31,6.28,$-1.60,0.0
2022-09-30,10.55,$-1.98,0.0
2022-06-30,5.43,$-1.87,0.0
