Leap Therapeutics Price to Free Cash Flow Ratio Historical Data,Leap Therapeutics Price to Free Cash Flow Ratio Historical Data,Leap Therapeutics Price to Free Cash Flow Ratio Historical Data,Leap Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.41,,0.0
2024-09-30,2.57,$-1.99,0.0
2024-06-30,1.96,$-1.33,0.0
2024-03-31,2.66,$-1.73,0.0
2023-12-31,4.15,$-2.14,0.0
2023-09-30,1.38,$-2.39,0.0
2023-06-30,3.13,$-3.79,0.0
2023-03-31,3.4,$-4.30,0.0
2022-12-31,4.5,$-4.33,0.0
2022-09-30,8.8,$-4.15,0.0
2022-06-30,11.5,$-4.06,0.0
2022-03-31,17.5,$-3.99,0.0
2021-12-31,32.4,$-4.10,0.0
2021-09-30,40.1,$-4.88,0.0
2021-06-30,16.4,$-3.96,0.0
2021-03-31,19.0,$-4.25,0.0
2020-12-31,22.5,$-4.37,0.0
2020-09-30,19.8,$-5.74,0.0
2020-06-30,20.9,$-8.32,0.0
2020-03-31,15.8,$-9.62,0.0
2019-12-31,11.2,$-11.95,0.0
2019-09-30,11.7,$-14.41,0.0
2019-06-30,17.9,$-16.39,0.0
2019-03-31,18.7,$-17.23,0.0
2018-12-31,20.0,$-18.06,0.0
2018-09-30,77.9,$-19.79,0.0
2018-06-30,90.0,$-17.66,0.0
2018-03-31,83.0,$-19.33,0.0
2017-12-31,62.4,$-24.16,0.0
