Equity Bancshares Price to Free Cash Flow Ratio Historical Data,Equity Bancshares Price to Free Cash Flow Ratio Historical Data,Equity Bancshares Price to Free Cash Flow Ratio Historical Data,Equity Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,40.27,,9.42
2024-12-31,42.42,$4.27,9.92
2024-09-30,40.88,$3.73,10.97
2024-06-30,35.07,$3.68,9.53
2024-03-31,34.13,$3.65,9.35
2023-12-31,33.54,$3.88,8.65
2023-09-30,23.73,$4.11,5.78
2023-06-30,22.35,$4.31,5.19
2023-03-31,23.81,$5.41,4.4
2022-12-31,31.78,$6.12,5.19
2022-09-30,28.74,$6.55,4.39
2022-06-30,28.19,$7.25,3.89
2022-03-31,31.15,$6.54,4.76
2021-12-31,32.63,$6.39,5.11
2021-09-30,32.02,$5.40,5.93
2021-06-30,29.18,$4.04,7.22
2021-03-31,26.22,$3.39,7.73
2020-12-31,20.66,$2.39,8.66
2020-09-30,14.83,$3.18,4.67
2020-06-30,16.69,$3.13,5.33
2020-03-31,16.51,$2.39,6.91
2019-12-31,29.55,$2.65,11.16
2019-09-30,25.66,$1.99,12.93
2019-06-30,25.52,$1.76,14.47
2019-03-31,27.56,$1.89,14.62
2018-12-31,33.74,$1.87,18.08
2018-09-30,37.57,$2.15,17.48
2018-06-30,39.7,$1.71,23.27
2018-03-31,37.48,$1.93,19.45
2017-12-31,33.89,$1.65,20.58
2017-09-30,34.05,$1.09,31.34
2017-06-30,29.32,$1.58,18.54
2017-03-31,30.41,$1.40,21.78
2016-12-31,32.2,$1.48,21.75
2016-09-30,24.83,$2.57,9.64
