Travelzoo Price to Free Cash Flow Ratio Historical Data,Travelzoo Price to Free Cash Flow Ratio Historical Data,Travelzoo Price to Free Cash Flow Ratio Historical Data,Travelzoo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.81,,8.48
2024-12-31,19.95,$1.63,12.25
2024-09-30,12.05,$1.14,10.54
2024-06-30,7.59,$0.94,8.05
2024-03-31,10.18,$1.01,10.12
2023-12-31,9.53,$0.70,13.69
2023-09-30,5.83,$0.41,14.18
2023-06-30,7.89,$-0.16,0.0
2023-03-31,6.04,$-1.30,0.0
2022-12-31,4.45,$-1.88,0.0
2022-09-30,4.43,$-3.02,0.0
2022-06-30,6.06,$-3.61,0.0
2022-03-31,6.56,$-1.97,0.0
2021-12-31,9.42,$-0.62,0.0
2021-09-30,11.6,$1.61,7.2
2021-06-30,14.76,$4.66,3.17
2021-03-31,16.76,$5.27,3.18
2020-12-31,9.44,$4.20,2.25
2020-09-30,6.43,$4.06,1.58
2020-06-30,5.64,$1.95,2.89
2020-03-31,3.93,$0.35,11.3
2019-12-31,10.7,$0.89,11.97
2019-09-30,10.69,$0.55,19.56
2019-06-30,15.44,$0.47,32.89
2019-03-31,13.4,$0.64,21.08
2018-12-31,9.83,$0.38,26.08
2018-09-30,11.85,$0.25,46.73
2018-06-30,17.1,$0.30,56.57
2018-03-31,7.28,$0.08,90.71
2017-12-31,6.45,$0.10,62.14
2017-09-30,8.6,$0.29,29.63
2017-06-30,10.95,$0.15,73.24
2017-03-31,9.65,$0.50,19.19
2016-12-31,9.4,$0.56,16.84
2016-09-30,12.83,$0.27,48.4
2016-06-30,8.02,$0.42,19.03
2016-03-31,8.12,$0.21,38.94
2015-12-31,8.37,$0.20,42.34
2015-09-30,8.27,$-0.09,0.0
2015-06-30,11.28,$-0.34,0.0
2015-03-31,9.64,$-0.34,0.0
2014-12-31,12.62,$-0.36,0.0
2014-09-30,15.5,$-0.56,0.0
2014-06-30,19.35,$-0.26,0.0
2014-03-31,22.9,$0.37,62.03
2013-12-31,21.32,$0.68,31.14
2013-09-30,26.52,$1.76,15.09
2013-06-30,27.26,$2.09,13.03
2013-03-31,21.37,$1.93,11.07
2012-12-31,18.99,$2.14,8.89
2012-09-30,23.57,$1.76,13.4
2012-06-30,22.72,$1.87,12.13
2012-03-31,23.0,$0.77,30.05
2011-12-31,24.58,$0.80,30.63
2011-09-30,21.99,$0.93,23.61
2011-06-30,64.64,$0.59,109.39
2011-03-31,66.59,$1.41,47.15
2010-12-31,41.38,$1.38,30.06
2010-09-30,25.76,$0.97,26.51
2010-06-30,12.38,$0.82,15.01
2010-03-31,15.01,$0.69,21.82
2009-12-31,12.29,$0.19,64.38
