Innoviz Technologies Price to Free Cash Flow Ratio Historical Data,Innoviz Technologies Price to Free Cash Flow Ratio Historical Data,Innoviz Technologies Price to Free Cash Flow Ratio Historical Data,Innoviz Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.7,,0.0
2024-12-31,1.68,$-0.49,0.0
2024-09-30,0.83,$-0.48,0.0
2024-06-30,0.93,$-0.53,0.0
2024-03-31,1.35,$-0.60,0.0
2023-12-31,2.53,$-0.68,0.0
2023-09-30,1.95,$-0.81,0.0
2023-06-30,2.84,$-0.86,0.0
2023-03-31,3.5,$-0.85,0.0
2022-12-31,3.93,$-0.86,0.0
2022-09-30,5.21,$-0.80,0.0
2022-06-30,3.92,$0.34,11.61
2022-03-31,3.62,$-0.71,0.0
2021-09-30,5.76,$-4.55,0.0
