NetEase Price to Free Cash Flow Ratio Historical Data,NetEase Price to Free Cash Flow Ratio Historical Data,NetEase Price to Free Cash Flow Ratio Historical Data,NetEase Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,99.97,,12.11
2024-09-30,93.05,$8.26,11.27
2024-06-30,94.58,$7.79,12.14
2024-03-31,101.85,$7.91,12.88
2023-12-31,90.81,$7.15,12.69
2023-09-30,97.21,$6.60,14.74
2023-06-30,93.34,$6.03,15.49
2023-03-31,84.95,$5.91,14.37
2022-12-31,69.53,$5.64,12.33
2022-09-30,71.92,$5.52,13.03
2022-06-30,88.45,$5.55,15.95
2022-03-31,84.71,$5.21,16.27
2021-12-31,95.66,$5.45,17.55
2021-09-30,80.1,$5.59,14.32
2021-06-30,107.8,$5.29,20.39
2021-03-31,96.33,$5.26,18.32
2020-12-31,89.3,$5.46,16.37
2020-09-30,84.6,$6.97,12.14
2020-06-30,79.66,$5.90,13.51
2020-03-31,59.38,$4.23,14.03
2019-12-31,56.54,$3.55,15.92
2019-09-30,47.92,$2.43,19.69
2019-06-30,45.85,$2.43,18.84
2019-03-31,43.17,$2.82,15.31
2018-12-31,41.99,$2.43,17.25
2018-09-30,40.72,$2.33,17.48
2018-06-30,44.94,$2.33,19.29
2018-03-31,49.82,$1.82,27.43
2017-12-31,61.24,$2.33,26.29
2017-09-30,46.72,$3.13,14.95
2017-06-30,53.08,$3.13,16.98
2017-03-31,49.96,$3.94,12.69
2016-12-31,37.75,$3.13,12.08
2016-09-30,42.07,$1.68,24.98
2016-06-30,33.64,$1.68,19.97
2016-03-31,24.89,$1.24,20.04
2015-12-31,31.27,$1.68,18.57
2015-09-30,20.65,$1.31,15.78
2015-06-30,24.81,$1.31,18.96
2015-03-31,17.99,$1.35,13.3
2014-12-31,16.88,$1.31,12.89
2014-09-30,14.53,$1.27,11.43
2014-06-30,13.24,$1.27,10.41
2014-03-31,11.32,$1.29,8.74
2013-12-31,12.95,$1.27,10.19
2013-09-30,11.96,$0.99,12.09
2013-06-30,10.41,$0.99,10.52
2013-03-31,9.02,$1.05,8.62
2012-12-31,6.85,$0.99,6.93
2012-09-30,9.05,$0.70,13.01
2012-06-30,9.48,$0.89,10.68
2012-03-31,9.36,$1.01,9.25
2011-12-31,7.23,$0.89,8.14
2011-09-30,6.15,$0.79,7.83
2011-06-30,7.26,$0.59,12.25
2011-03-31,7.98,$0.65,12.31
2010-12-31,5.82,$0.59,9.82
2010-09-30,6.35,$0.38,16.76
2010-06-30,5.11,$0.31,16.46
2010-03-31,5.72,$0.39,14.52
2009-12-31,6.06,$0.38,15.99
