Comstock Holding Price to Free Cash Flow Ratio Historical Data,Comstock Holding Price to Free Cash Flow Ratio Historical Data,Comstock Holding Price to Free Cash Flow Ratio Historical Data,Comstock Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.78,,5.74
2024-09-30,9.99,$1.18,8.46
2024-06-30,6.37,$1.01,6.33
2024-03-31,5.09,$0.89,5.7
2023-12-31,4.43,$0.87,5.12
2023-09-30,4.76,$0.62,7.71
2023-06-30,4.19,$0.68,6.2
2023-03-31,5.07,$0.78,6.48
2022-12-31,4.25,$0.81,5.24
2022-09-30,3.97,$0.73,5.43
2022-06-30,4.52,$0.73,6.17
2022-03-31,5.97,$0.93,6.44
2021-12-31,4.85,$0.93,5.19
2021-09-30,4.77,$0.54,8.77
2021-06-30,5.98,$0.42,14.25
2021-03-31,5.78,$0.42,13.84
2020-12-31,3.17,$0.41,7.81
2020-09-30,2.46,$0.55,4.5
2020-06-30,2.79,$1.14,2.45
2020-03-31,1.56,$0.11,13.85
2019-12-31,1.96,$1.20,1.62
2019-09-30,1.85,$1.34,1.38
2019-06-30,2.65,$1.30,2.03
2019-03-31,2.18,$4.22,0.52
2018-12-31,1.68,$3.34,0.5
2018-09-30,2.42,$3.49,0.69
2018-06-30,2.62,$2.97,0.88
2018-03-31,1.55,$1.16,1.34
2017-12-31,1.7,$1.39,1.23
2017-09-30,1.67,$-0.93,0.0
2017-06-30,1.97,$-3.16,0.0
2017-03-31,2.16,$-3.25,0.0
2016-12-31,1.8,$-3.57,0.0
2016-09-30,1.85,$1.16,1.6
2016-06-30,1.78,$2.74,0.65
2016-03-31,1.79,$1.90,0.94
2015-12-31,1.46,$0.75,1.95
2015-09-30,3.54,$-4.33,0.0
2015-06-30,3.9,$-2.52,0.0
2015-03-31,6.44,$-2.22,0.0
2014-12-31,7.21,$-1.82,0.0
2014-09-30,8.05,$0.77,10.51
2014-06-30,8.33,$-3.63,0.0
2014-03-31,11.27,$-3.76,0.0
2013-12-31,14.0,$-1.50,0.0
2013-09-30,12.67,$-5.66,0.0
2013-06-30,19.39,$-3.91,0.0
2013-03-31,12.32,$-3.57,0.0
2012-12-31,8.12,$1.01,8.05
2012-09-30,9.31,$4.93,1.89
2012-06-30,9.17,$9.18,1.0
2012-03-31,12.67,$9.74,1.3
2011-12-31,7.68,$4.28,1.79
2011-09-30,6.51,$4.52,1.44
2011-06-30,8.05,$2.81,2.87
2011-03-31,9.17,$3.80,2.41
2010-12-31,8.05,$5.88,1.37
2010-09-30,9.59,$6.63,1.45
2010-06-30,9.8,$8.52,1.15
2010-03-31,7.63,$6.97,1.09
2009-12-31,5.71,$4.73,1.21
