Patterson-UTI Energy Price to Free Cash Flow Ratio Historical Data,Patterson-UTI Energy Price to Free Cash Flow Ratio Historical Data,Patterson-UTI Energy Price to Free Cash Flow Ratio Historical Data,Patterson-UTI Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.41,,6.39
2024-12-31,8.26,$1.32,6.27
2024-09-30,7.58,$1.77,4.28
2024-06-30,10.17,$1.29,7.91
2024-03-31,11.63,$1.29,9.04
2023-12-31,10.45,$1.49,7.02
2023-09-30,13.3,$1.44,9.24
2023-06-30,11.44,$1.86,6.14
2023-03-31,11.09,$1.52,7.28
2022-12-31,15.87,$0.71,22.4
2022-09-30,10.96,$-0.30,0.0
2022-06-30,14.75,$-0.67,0.0
2022-03-31,14.45,$-0.47,0.0
2021-12-31,7.87,$-0.24,0.0
2021-09-30,8.36,$-0.16,0.0
2021-06-30,9.2,$0.27,33.74
2021-03-31,6.59,$0.75,8.75
2020-12-31,4.85,$0.82,5.91
2020-09-30,2.62,$1.16,2.26
2020-06-30,3.17,$1.63,1.94
2020-03-31,2.14,$1.56,1.37
2019-12-31,9.47,$1.94,4.88
2019-09-30,7.68,$2.13,3.61
2019-06-30,10.29,$1.48,6.93
2019-03-31,12.48,$0.87,14.37
2018-12-31,9.19,$0.62,14.71
2018-09-30,15.14,$-0.11,0.0
2018-06-30,15.89,$-0.33,0.0
2018-03-31,15.43,$-0.63,0.0
2017-12-31,20.25,$-1.03,0.0
2017-09-30,18.41,$-0.64,0.0
2017-06-30,17.73,$-0.24,0.0
2017-03-31,21.3,$0.52,41.23
2016-12-31,23.6,$1.42,16.66
2016-09-30,19.6,$1.74,11.29
2016-06-30,18.66,$1.59,11.77
2016-03-31,15.41,$1.41,10.94
2015-12-31,13.11,$1.90,6.9
2015-09-30,11.35,$0.73,15.59
2015-06-30,16.14,$0.07,238.73
2015-03-31,16.03,$-0.94,0.0
2014-12-31,14.08,$-2.00,0.0
2014-09-30,27.43,$-0.88,0.0
2014-06-30,29.38,$0.48,61.37
2014-03-31,26.56,$1.49,17.81
2013-12-31,21.15,$1.63,12.98
2013-09-30,17.82,$1.22,14.66
2013-06-30,16.1,$0.74,21.62
2013-03-31,19.78,$0.86,23.07
2012-12-31,15.42,$0.64,24.03
2012-09-30,13.06,$0.20,64.85
2012-06-30,11.98,$-0.60,0.0
2012-03-31,14.18,$-0.70,0.0
2011-12-31,16.34,$-0.78,0.0
2011-09-30,14.15,$-0.95,0.0
2011-06-30,25.73,$-1.23,0.0
2011-03-31,23.88,$-1.11,0.0
2010-12-31,17.48,$-1.19,0.0
2010-09-30,13.82,$-0.95,0.0
2010-06-30,10.38,$-0.55,0.0
2010-03-31,11.23,$-0.93,0.0
2009-12-31,12.3,$0.03,425.7
