PPL Price to Free Cash Flow Ratio Historical Data,PPL Price to Free Cash Flow Ratio Historical Data,PPL Price to Free Cash Flow Ratio Historical Data,PPL Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,34.98,,0.0
2024-12-31,32.46,$-0.63,0.0
2024-09-30,32.82,$-0.89,0.0
2024-06-30,27.22,$-0.82,0.0
2024-03-31,26.85,$-1.19,0.0
2023-12-31,26.18,$-0.86,0.0
2023-09-30,22.56,$-0.70,0.0
2023-06-30,25.09,$-0.87,0.0
2023-03-31,26.11,$-0.77,0.0
2022-12-31,27.21,$-0.58,0.0
2022-09-30,23.43,$-0.29,0.0
2022-06-30,24.88,$-0.37,0.0
2022-03-31,25.96,$0.24,107.69
2021-12-31,27.12,$0.39,69.85
2021-09-30,24.8,$0.57,43.66
2021-06-30,24.54,$1.15,21.28
2021-03-31,24.94,$0.77,32.44
2020-12-31,24.02,$0.62,38.83
2020-09-30,22.85,$1.40,16.37
2020-06-30,21.38,$0.99,21.69
2020-03-31,20.13,$0.70,28.84
2019-12-31,28.85,$0.25,115.53
2019-09-30,25.01,$-0.82,0.0
2019-06-30,24.29,$-0.85,0.0
2019-03-31,24.54,$-0.67,0.0
2018-12-31,21.62,$-0.59,0.0
2018-09-30,22.04,$-0.59,0.0
2018-06-30,21.21,$-0.42,0.0
2018-03-31,20.69,$-0.45,0.0
2017-12-31,22.31,$-0.98,0.0
2017-09-30,27.04,$-0.85,0.0
2017-06-30,27.28,$-0.64,0.0
2017-03-31,26.12,$-0.69,0.0
2016-12-31,23.53,$-0.04,0.0
2016-09-30,23.62,$-0.35,0.0
2016-06-30,25.51,$-1.08,0.0
2016-03-31,25.48,$-1.27,0.0
2015-12-31,22.6,$-1.36,0.0
2015-09-30,21.53,$-1.23,0.0
2015-06-30,19.05,$-0.81,0.0
2015-03-31,20.05,$-0.70,0.0
2014-12-31,21.39,$-0.41,0.0
2014-09-30,19.13,$-0.31,0.0
2014-06-30,20.47,$-0.03,0.0
2014-03-31,18.89,$-0.22,0.0
2013-12-31,16.95,$-1.17,0.0
2013-09-30,16.91,$-1.43,0.0
2013-06-30,16.64,$-1.24,0.0
2013-03-31,17.0,$-1.55,0.0
2012-12-31,15.36,$-0.59,0.0
2012-09-30,15.4,$-0.18,0.0
2012-06-30,14.56,$0.44,33.05
2012-03-31,14.61,$1.29,11.36
2011-12-31,15.01,$0.73,20.63
2011-09-30,14.39,$0.46,30.96
2011-06-30,13.86,$0.81,17.11
2011-03-31,12.44,$-0.83,0.0
2010-12-31,12.77,$1.01,12.64
2010-09-30,13.03,$2.02,6.46
2010-06-30,11.78,$1.41,8.34
2010-03-31,12.91,$2.92,4.42
2009-12-31,14.87,$1.67,8.93
