Piedmont Office Realty Trust Price to Free Cash Flow Ratio Historical Data,Piedmont Office Realty Trust Price to Free Cash Flow Ratio Historical Data,Piedmont Office Realty Trust Price to Free Cash Flow Ratio Historical Data,Piedmont Office Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.37,,15.0
2024-12-31,9.15,$0.49,18.62
2024-09-30,9.97,$0.61,16.42
2024-06-30,7.06,$0.62,11.38
2024-03-31,6.73,$0.65,10.37
2023-12-31,6.67,$0.44,15.3
2023-09-30,5.16,$1.83,2.82
2023-06-30,6.55,$-0.26,0.0
2023-03-31,6.36,$-0.21,0.0
2022-12-31,7.82,$0.97,8.03
2022-09-30,8.82,$-1.99,0.0
2022-06-30,10.77,$0.20,53.39
2022-03-31,13.94,$0.19,71.88
2021-12-31,14.68,$-0.86,0.0
2021-09-30,13.77,$0.74,18.59
2021-06-30,14.42,$0.64,22.71
2021-03-31,13.41,$3.38,3.96
2020-12-31,12.38,$0.19,65.74
2020-09-30,10.22,$3.36,3.04
2020-06-30,12.35,$1.78,6.92
2020-03-31,12.97,$-1.64,0.0
2019-12-31,16.18,$2.92,5.54
2019-09-30,15.05,$0.14,104.71
2019-06-30,14.21,$5.07,2.8
2019-03-31,14.71,$2.79,5.28
2018-12-31,11.9,$4.24,2.81
2018-09-30,13.22,$3.89,3.4
2018-06-30,13.77,$3.32,4.15
2018-03-31,12.02,$6.30,1.91
2017-12-31,13.24,$3.46,3.83
2017-09-30,13.14,$2.08,6.33
2017-06-30,13.59,$-0.33,0.0
2017-03-31,13.65,$0.63,21.76
2016-12-31,13.23,$0.95,13.98
2016-09-30,13.63,$5.10,2.67
2016-06-30,13.35,$4.90,2.73
2016-03-31,12.46,$4.29,2.9
2015-12-31,11.44,$3.75,3.05
2015-09-30,10.73,$0.90,11.96
2015-06-30,10.42,$-0.02,0.0
2015-03-31,10.89,$-0.64,0.0
2014-12-31,10.9,$-0.15,0.0
2014-09-30,10.09,$-0.68,0.0
2014-06-30,10.73,$0.13,79.59
2014-03-31,9.61,$0.42,22.67
2013-12-31,9.15,$-1.40,0.0
2013-09-30,9.5,$-0.54,0.0
2013-06-30,9.67,$-0.44,0.0
2013-03-31,10.49,$-0.56,0.0
2012-12-31,9.57,$1.21,7.91
2012-09-30,9.09,$1.42,6.4
2012-06-30,8.92,$1.80,4.96
2012-03-31,9.08,$1.99,4.56
2011-12-31,8.62,$1.98,4.34
2011-09-30,8.02,$2.15,3.74
2011-06-30,9.95,$1.80,5.54
2011-03-31,9.33,$1.88,4.96
2010-12-31,9.52,$1.91,4.97
