Modiv Industrial Price to Free Cash Flow Ratio Historical Data,Modiv Industrial Price to Free Cash Flow Ratio Historical Data,Modiv Industrial Price to Free Cash Flow Ratio Historical Data,Modiv Industrial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.94,,9.78
2024-12-31,14.88,$1.63,9.13
2024-09-30,16.8,$1.77,9.49
2024-06-30,14.14,$1.81,7.8
2024-03-31,16.79,$1.72,9.77
2023-12-31,14.9,$1.82,8.17
2023-09-30,16.69,$2.53,6.59
2023-06-30,15.0,$2.41,6.22
2023-03-31,10.63,$2.74,3.88
2022-12-31,12.0,$2.22,5.4
