Urban-gro Price to Free Cash Flow Ratio Historical Data,Urban-gro Price to Free Cash Flow Ratio Historical Data,Urban-gro Price to Free Cash Flow Ratio Historical Data,Urban-gro Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.65,,0.0
2024-09-30,1.38,$-0.47,0.0
2024-06-30,1.33,$-1.02,0.0
2024-03-31,1.37,$-0.64,0.0
2023-12-31,1.4,$-1.02,0.0
2023-09-30,1.36,$-0.99,0.0
2023-06-30,1.18,$-0.88,0.0
2023-03-31,2.7,$-1.21,0.0
2022-12-31,2.72,$-1.25,0.0
2022-09-30,2.79,$-1.06,0.0
2022-06-30,4.84,$-0.80,0.0
2022-03-31,10.74,$-0.58,0.0
2021-12-31,10.48,$-0.19,0.0
