Pinnacle Financial Partners Price to Free Cash Flow Ratio Historical Data,Pinnacle Financial Partners Price to Free Cash Flow Ratio Historical Data,Pinnacle Financial Partners Price to Free Cash Flow Ratio Historical Data,Pinnacle Financial Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,105.53,,9.98
2024-12-31,114.39,$10.58,10.82
2024-09-30,97.76,$5.59,17.49
2024-06-30,79.67,$5.67,14.05
2024-03-31,85.25,$5.90,14.45
2023-12-31,86.35,$7.82,11.05
2023-09-30,66.16,$7.82,8.46
2023-06-30,55.74,$10.05,5.54
2023-03-31,54.01,$10.84,4.98
2022-12-31,71.68,$7.12,10.07
2022-09-30,78.99,$8.76,9.02
2022-06-30,70.23,$7.04,9.98
2022-03-31,89.18,$7.41,12.04
2021-12-31,92.29,$8.36,11.04
2021-09-30,90.75,$7.10,12.79
2021-06-30,85.0,$6.57,12.93
2021-03-31,85.18,$5.97,14.26
2020-12-31,61.72,$5.13,12.04
2020-09-30,33.99,$5.01,6.78
2020-06-30,39.94,$5.26,7.6
2020-03-31,35.57,$3.75,9.49
2019-12-31,60.48,$5.07,11.92
2019-09-30,53.49,$5.59,9.56
2019-06-30,54.02,$5.31,10.18
2019-03-31,51.27,$6.86,7.47
2018-12-31,43.08,$5.81,7.41
2018-09-30,56.04,$4.54,12.36
2018-06-30,57.03,$3.06,18.61
2018-03-31,59.55,$2.76,21.61
2017-12-31,61.36,$1.75,35.12
2017-09-30,61.84,$2.72,22.75
2017-06-30,57.88,$3.06,18.92
2017-03-31,61.11,$2.55,23.97
2016-12-31,63.59,$3.14,20.23
2016-09-30,49.49,$2.76,17.91
2016-06-30,44.58,$2.61,17.11
2016-03-31,44.64,$2.37,18.86
2015-12-31,46.6,$1.96,23.75
2015-09-30,44.73,$1.64,27.35
2015-06-30,49.1,$2.58,19.07
2015-03-31,40.06,$2.29,17.5
2014-12-31,35.51,$2.54,13.99
2014-09-30,32.35,$2.38,13.61
2014-06-30,35.3,$2.64,13.38
2014-03-31,33.45,$3.21,10.41
2013-12-31,28.95,$3.51,8.25
2013-09-30,26.46,$3.48,7.59
2013-06-30,22.82,$3.06,7.45
2013-03-31,20.74,$2.61,7.94
2012-12-31,16.72,$3.14,5.32
2012-09-30,17.15,$3.15,5.44
2012-06-30,17.32,$2.95,5.87
2012-03-31,16.29,$3.43,4.75
2011-12-31,14.34,$3.26,4.4
2011-09-30,9.71,$3.63,2.68
2011-06-30,13.81,$3.99,3.46
2011-03-31,14.68,$3.65,4.03
2010-12-31,12.06,$3.66,3.29
2010-09-30,8.16,$3.14,2.6
2010-06-30,11.41,$2.93,3.9
2010-03-31,13.41,$2.96,4.53
2009-12-31,12.62,$2.50,5.04
