MeiraGTx Holdings Price to Free Cash Flow Ratio Historical Data,MeiraGTx Holdings Price to Free Cash Flow Ratio Historical Data,MeiraGTx Holdings Price to Free Cash Flow Ratio Historical Data,MeiraGTx Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.65,,0.0
2024-12-31,6.09,$-1.57,0.0
2024-09-30,4.17,$-1.59,0.0
2024-06-30,4.21,$-1.70,0.0
2024-03-31,6.07,$-1.88,0.0
2023-12-31,7.02,$-2.22,0.0
2023-09-30,4.91,$-2.34,0.0
2023-06-30,6.72,$-2.66,0.0
2023-03-31,5.17,$-3.09,0.0
2022-12-31,6.52,$-2.61,0.0
2022-09-30,8.41,$-2.21,0.0
2022-06-30,7.57,$-2.19,0.0
2022-03-31,13.85,$-1.86,0.0
2021-12-31,23.74,$-1.29,0.0
2021-09-30,13.18,$-2.14,0.0
2021-06-30,15.5,$-1.88,0.0
2021-03-31,14.43,$-1.70,0.0
2020-12-31,15.14,$-2.25,0.0
2020-09-30,13.24,$-2.03,0.0
2020-06-30,12.52,$-2.31,0.0
2020-03-31,13.44,$-2.93,0.0
2019-12-31,20.02,$0.33,60.01
2019-09-30,15.95,$-0.72,0.0
2019-06-30,26.88,$0.84,31.83
2019-03-31,17.23,$-0.89,0.0
