Kentucky First Federal Bancorp Price to Free Cash Flow Ratio Historical Data,Kentucky First Federal Bancorp Price to Free Cash Flow Ratio Historical Data,Kentucky First Federal Bancorp Price to Free Cash Flow Ratio Historical Data,Kentucky First Federal Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.03,,0.0
2024-12-31,2.98,$-0.05,0.0
2024-09-30,2.73,$-0.29,0.0
2024-06-30,3.16,$-0.19,0.0
2024-03-31,3.82,$-0.15,0.0
2023-12-31,4.43,$-0.10,0.0
2023-09-30,4.85,$0.03,161.17
2023-06-30,5.98,$0.15,40.34
2023-03-31,5.92,$0.31,19.11
2022-12-31,6.21,$0.25,25.27
2022-09-30,6.62,$0.10,69.11
2022-06-30,7.24,$0.30,23.86
2022-03-31,6.59,$0.16,41.49
2021-12-31,6.65,$0.34,19.73
2021-09-30,6.22,$0.40,15.4
2021-06-30,6.32,$0.18,35.1
2021-03-31,5.71,$0.15,37.08
2020-12-31,5.27,$0.03,161.1
2020-09-30,5.14,$0.13,38.31
2020-06-30,5.45,$0.10,54.01
2020-03-31,4.76,$0.15,32.68
2019-12-31,6.07,$0.17,36.66
2019-09-30,5.8,$0.09,65.82
2019-06-30,5.99,$0.13,45.67
2019-03-31,5.65,$0.07,84.48
2018-12-31,5.14,$0.04,119.8
2018-09-30,5.87,$0.10,58.45
2018-06-30,6.13,$0.12,51.67
2018-03-31,6.35,$0.19,34.32
2017-12-31,6.35,$0.23,27.87
2017-09-30,6.88,$0.23,30.12
2017-06-30,6.56,$0.23,28.3
2017-03-31,6.85,$0.14,48.58
2016-12-31,6.12,$0.10,63.26
2016-09-30,5.65,$0.08,72.51
2016-06-30,5.45,$0.02,244.28
2016-03-31,5.75,$0.01,407.92
2015-12-31,6.07,$0.16,38.95
2015-09-30,5.47,$0.20,27.23
2015-06-30,5.32,$0.26,20.1
2015-03-31,5.17,$0.30,17.41
2014-12-31,5.07,$0.27,18.79
2014-09-30,4.93,$0.22,22.1
2014-06-30,5.33,$0.26,20.48
2014-03-31,5.2,$0.48,10.88
2013-12-31,4.73,$0.52,9.09
2013-09-30,4.79,$0.48,10.06
2013-06-30,4.65,$0.46,10.02
2013-03-31,4.56,$0.26,17.46
2012-12-31,4.2,$0.20,20.59
2012-09-30,4.21,$0.10,43.23
2012-06-30,4.66,$0.17,27.5
2012-03-31,4.83,$0.39,12.39
2011-12-31,4.93,$0.38,12.92
2011-09-30,4.09,$0.56,7.3
2011-06-30,4.71,$0.45,10.46
2011-03-31,4.4,$0.28,15.75
2010-12-31,4.73,$0.27,17.59
2010-09-30,4.87,$0.13,36.34
2010-06-30,4.51,$0.15,30.2
2010-03-31,5.2,$0.10,50.52
2009-12-31,5.4,$0.15,35.42
