InnovAge Holding Price to Free Cash Flow Ratio Historical Data,InnovAge Holding Price to Free Cash Flow Ratio Historical Data,InnovAge Holding Price to Free Cash Flow Ratio Historical Data,InnovAge Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.25,,0.0
2024-12-31,3.93,$-0.02,0.0
2024-09-30,6.0,$-0.14,0.0
2024-06-30,4.96,$-0.33,0.0
2024-03-31,4.44,$-0.25,0.0
2023-12-31,6.0,$-0.09,0.0
2023-09-30,5.99,$-0.33,0.0
2023-06-30,7.5,$-0.02,0.0
2023-03-31,7.98,$-0.20,0.0
2022-12-31,7.18,$-0.50,0.0
2022-09-30,5.88,$-0.17,0.0
2022-06-30,4.38,$-0.08,0.0
2022-03-31,6.42,$0.08,78.01
2021-12-31,5.0,$-0.06,0.0
