Ovintiv Price to Free Cash Flow Ratio Historical Data,Ovintiv Price to Free Cash Flow Ratio Historical Data,Ovintiv Price to Free Cash Flow Ratio Historical Data,Ovintiv Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,42.12,,7.94
2024-12-31,40.5,$5.30,7.64
2024-09-30,38.03,$6.38,5.96
2024-06-30,46.17,$4.54,10.16
2024-03-31,50.79,$3.79,13.39
2023-12-31,42.73,$5.39,7.92
2023-09-30,45.96,$4.56,10.08
2023-06-30,36.56,$6.37,5.74
2023-03-31,34.37,$8.82,3.9
2022-12-31,47.98,$7.88,6.09
2022-09-30,43.31,$7.02,6.17
2022-06-30,41.41,$6.91,6.0
2022-03-31,50.44,$5.16,9.78
2021-12-31,31.3,$6.04,5.18
2021-09-30,30.4,$6.39,4.76
2021-06-30,28.96,$5.23,5.54
2021-03-31,21.85,$3.27,6.69
2020-12-31,13.13,$0.61,21.45
2020-09-30,7.41,$-0.23,0.0
2020-06-30,8.59,$-0.07,0.0
2020-03-31,2.4,$1.11,2.16
2019-12-31,20.14,$1.13,17.83
2019-09-30,19.66,$1.62,12.17
2019-06-30,21.84,$2.79,7.82
2019-03-31,30.71,$1.50,20.49
2018-12-31,24.45,$1.69,14.45
2018-09-30,55.33,$-0.12,0.0
2018-06-30,55.01,$-2.60,0.0
2018-03-31,46.31,$-2.98,0.0
2017-12-31,56.05,$-3.83,0.0
2017-09-30,49.47,$-3.93,0.0
2017-06-30,36.9,$-3.43,0.0
2017-03-31,49.03,$-3.19,0.0
2016-12-31,49.08,$-2.87,0.0
2016-09-30,43.72,$-1.05,0.0
2016-06-30,32.48,$-1.06,0.0
2016-03-31,25.34,$-2.77,0.0
2015-12-31,21.13,$-3.25,0.0
2015-09-30,26.42,$-8.29,0.0
2015-06-30,44.78,$-7.50,0.0
2015-03-31,45.05,$-3.64,0.0
2014-12-31,55.69,$0.95,58.54
2014-09-30,84.69,$3.25,26.03
2014-06-30,94.38,$4.58,20.61
2014-03-31,84.85,$2.77,30.65
2013-12-31,71.39,$-2.86,0.0
2013-09-30,68.28,$-1.57,0.0
2013-06-30,65.98,$-1.10,0.0
2013-03-31,74.94,$-1.80,0.0
2012-12-31,75.31,$-2.51,0.0
2012-09-30,82.74,$-1.25,0.0
2012-06-30,77.94,$-2.68,0.0
2012-03-31,72.8,$-2.61,0.0
2011-12-31,67.97,$-3.62,0.0
2011-09-30,69.71,$-5.58,0.0
2011-06-30,110.78,$-7.26,0.0
2011-03-31,123.45,$-8.64,0.0
2010-12-31,103.43,$-16.35,0.0
2010-09-30,106.63,$-9.93,0.0
2010-06-30,106.29,$-1.94,0.0
2010-03-31,108.07,$6.26,17.26
2009-12-31,112.14,$20.02,5.6
