Fvcbankcorp Price to Free Cash Flow Ratio Historical Data,Fvcbankcorp Price to Free Cash Flow Ratio Historical Data,Fvcbankcorp Price to Free Cash Flow Ratio Historical Data,Fvcbankcorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.44,,10.82
2024-09-30,13.05,$0.96,13.52
2024-06-30,10.92,$1.05,10.37
2024-03-31,12.18,$1.13,10.74
2023-12-31,14.2,$0.88,16.12
2023-09-30,12.81,$1.09,11.73
2023-06-30,10.77,$1.16,9.3
2023-03-31,10.65,$1.15,9.29
2022-12-31,15.26,$1.20,12.69
2022-09-30,15.34,$2.31,6.65
2022-06-30,15.06,$1.01,14.93
2022-03-31,16.6,$0.91,18.2
2021-12-31,15.74,$1.04,15.14
2021-09-30,16.0,$-0.43,0.0
2021-06-30,13.81,$0.72,19.23
2021-03-31,13.86,$0.79,17.46
2020-12-31,11.76,$0.82,14.32
2020-09-30,8.0,$0.96,8.37
2020-06-30,8.61,$1.03,8.32
2020-03-31,10.66,$1.14,9.37
2019-12-31,13.98,$1.03,13.55
2019-09-30,14.05,$0.99,14.2
2019-06-30,15.54,$1.21,12.83
