Electrovaya Price to Free Cash Flow Ratio Historical Data,Electrovaya Price to Free Cash Flow Ratio Historical Data,Electrovaya Price to Free Cash Flow Ratio Historical Data,Electrovaya Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.85,,475.0
2024-12-31,2.48,$0.01,0.0
2024-09-30,2.33,$0.03,86.94
2024-06-30,2.58,$-0.23,0.0
