National Presto Industries Price to Free Cash Flow Ratio Historical Data,National Presto Industries Price to Free Cash Flow Ratio Historical Data,National Presto Industries Price to Free Cash Flow Ratio Historical Data,National Presto Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,89.36,,0.0
2024-09-30,75.14,$-4.65,0.0
2024-06-30,75.13,$-2.51,0.0
2024-03-31,83.8,$1.64,50.95
2023-12-31,75.87,$6.13,12.38
2023-09-30,68.48,$5.44,12.58
2023-06-30,69.17,$5.95,11.63
2023-03-31,68.13,$5.56,12.26
2022-12-31,61.13,$1.09,55.94
2022-09-30,58.09,$2.26,25.73
2022-06-30,58.61,$3.58,16.37
2022-03-31,68.71,$4.45,15.45
2021-12-31,69.33,$4.51,15.38
2021-09-30,69.37,$6.20,11.19
2021-06-30,85.91,$4.06,21.15
2021-03-31,86.26,$4.80,17.98
2020-12-31,70.43,$5.45,12.93
2020-09-30,65.2,$3.00,21.7
2020-06-30,69.6,$2.39,29.11
2020-03-31,56.4,$1.18,47.94
2019-12-31,65.41,$1.03,63.65
2019-09-30,65.92,$-0.34,0.0
2019-06-30,69.03,$3.72,18.58
2019-03-31,80.32,$5.21,15.41
2018-12-31,82.12,$9.65,8.51
2018-09-30,91.07,$12.98,7.01
2018-06-30,87.1,$8.79,9.91
2018-03-31,65.85,$4.84,13.6
2017-12-31,65.52,$2.42,27.12
2017-09-30,70.14,$3.68,19.07
2017-06-30,72.8,$5.26,13.84
2017-03-31,67.34,$10.06,6.69
2016-12-31,66.5,$8.53,7.8
2016-09-30,54.87,$6.69,8.21
2016-06-30,58.97,$5.88,10.03
2016-03-31,52.34,$4.45,11.76
2015-12-31,48.75,$5.73,8.51
2015-09-30,49.57,$6.71,7.39
2015-06-30,47.25,$8.08,5.85
2015-03-31,37.29,$9.03,4.13
2014-12-31,32.05,$8.98,3.57
2014-09-30,33.53,$3.22,10.43
2014-06-30,40.23,$4.29,9.39
2014-03-31,43.1,$0.60,71.27
2013-12-31,41.74,$-1.68,0.0
2013-09-30,36.5,$3.17,11.5
2013-06-30,37.34,$0.92,40.4
2013-03-31,41.74,$6.77,6.17
2012-12-31,35.83,$7.08,5.06
2012-09-30,35.09,$6.54,5.36
2012-06-30,33.59,$8.16,4.12
2012-03-31,36.53,$4.68,7.81
2011-12-31,42.61,$6.35,6.7
2011-09-30,39.56,$6.28,6.3
2011-06-30,46.2,$4.11,11.25
2011-03-31,51.29,$3.95,12.99
2010-12-31,55.69,$6.00,9.29
2010-09-30,45.61,$8.19,5.57
2010-06-30,39.78,$9.10,4.37
2010-03-31,50.94,$7.49,6.8
2009-12-31,44.19,$8.59,5.14
