Cool Price to Free Cash Flow Ratio Historical Data,Cool Price to Free Cash Flow Ratio Historical Data,Cool Price to Free Cash Flow Ratio Historical Data,Cool Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.82,,inf
2024-09-30,11.29,0.0,0.0
2024-03-31,11.12,0.0,0.0
2023-12-31,12.72,0.0,0.0
