Core Molding Technologies Inc Price to Free Cash Flow Ratio Historical Data,Core Molding Technologies Inc Price to Free Cash Flow Ratio Historical Data,Core Molding Technologies Inc Price to Free Cash Flow Ratio Historical Data,Core Molding Technologies Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.13,,5.63
2024-12-31,16.54,$2.69,6.15
2024-09-30,17.21,$3.38,5.1
2024-06-30,15.94,$3.11,5.13
2024-03-31,18.93,$3.01,6.3
2023-12-31,18.53,$2.93,6.31
2023-09-30,28.49,$2.92,9.74
2023-06-30,22.75,$2.64,8.63
2023-03-31,17.99,$1.07,16.74
2022-12-31,12.99,$0.29,45.4
2022-09-30,9.93,$0.09,106.32
2022-06-30,9.19,$-0.93,0.0
2022-03-31,10.76,$0.01,0.0
2021-12-31,8.51,$0.14,60.66
2021-09-30,11.51,$-0.88,0.0
2021-06-30,15.43,$1.34,11.48
2021-03-31,11.73,$2.09,5.61
2020-12-31,14.08,$3.08,4.57
2020-09-30,8.86,$5.03,1.76
2020-06-30,4.12,$3.55,1.16
2020-03-31,1.54,$1.87,0.82
2019-12-31,3.25,$1.18,2.75
2019-09-30,6.41,$-2.24,0.0
2019-06-30,7.47,$-1.97,0.0
2019-03-31,7.38,$-0.62,0.0
2018-12-31,7.11,$-9.72,0.0
2018-09-30,6.67,$-7.73,0.0
2018-06-30,14.28,$-8.25,0.0
2018-03-31,17.77,$-9.22,0.0
2017-12-31,21.56,$0.34,62.96
2017-09-30,21.75,$0.91,23.87
2017-06-30,21.37,$1.83,11.67
2017-03-31,17.64,$2.56,6.89
2016-12-31,16.92,$3.03,5.59
2016-09-30,16.72,$3.38,4.95
2016-06-30,13.5,$2.73,4.94
2016-03-31,12.34,$2.49,4.95
2015-12-31,12.69,$-0.21,0.0
2015-09-30,18.25,$-0.52,0.0
2015-06-30,22.59,$-0.29,0.0
2015-03-31,16.98,$-1.24,0.0
2014-12-31,13.85,$0.02,706.48
2014-09-30,14.16,$-0.78,0.0
2014-06-30,12.86,$-1.21,0.0
2014-03-31,12.59,$-0.75,0.0
2013-12-31,13.55,$-0.31,0.0
2013-09-30,9.48,$1.06,8.92
2013-06-30,8.82,$1.60,5.5
2013-03-31,8.73,$1.22,7.17
2012-12-31,6.55,$0.99,6.6
2012-09-30,7.27,$0.16,45.2
2012-06-30,8.15,$0.19,42.03
2012-03-31,9.1,$0.42,21.61
2011-12-31,8.0,$0.37,21.89
2011-09-30,7.65,$0.56,13.7
2011-06-30,8.87,$0.25,35.01
2011-03-31,7.65,$0.42,18.04
2010-12-31,5.7,$0.73,7.8
2010-09-30,4.35,$0.76,5.75
2010-06-30,5.39,$0.76,7.11
2010-03-31,3.29,$0.19,17.16
2009-12-31,2.84,$-0.27,0.0
