CenterPoint Energy Price to Free Cash Flow Ratio Historical Data,CenterPoint Energy Price to Free Cash Flow Ratio Historical Data,CenterPoint Energy Price to Free Cash Flow Ratio Historical Data,CenterPoint Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,35.96,,0.0
2024-12-31,31.73,$-3.69,0.0
2024-09-30,29.23,$-2.36,0.0
2024-06-30,30.54,$-2.03,0.0
2024-03-31,27.9,$-2.24,0.0
2023-12-31,27.77,$-0.83,0.0
2023-09-30,25.91,$-1.76,0.0
2023-06-30,27.94,$-2.35,0.0
2023-03-31,28.05,$-2.77,0.0
2022-12-31,28.37,$-4.13,0.0
2022-09-30,26.5,$-3.55,0.0
2022-06-30,27.66,$-2.45,0.0
2022-03-31,28.5,$-1.97,0.0
2021-12-31,25.79,$-5.15,0.0
2021-09-30,22.59,$-4.69,0.0
2021-06-30,22.38,$-5.07,0.0
2021-03-31,20.54,$-4.73,0.0
2020-12-31,19.48,$-1.13,0.0
2020-09-30,17.31,$-1.08,0.0
2020-06-30,16.58,$-0.72,0.0
2020-03-31,13.6,$-1.20,0.0
2019-12-31,23.74,$-1.72,0.0
2019-09-30,25.97,$-1.67,0.0
2019-06-30,24.64,$-1.02,0.0
2019-03-31,26.16,$0.26,99.06
2018-12-31,23.84,$1.07,22.21
2018-09-30,23.11,$1.18,19.52
2018-06-30,22.93,$0.83,27.58
2018-03-31,22.43,$0.25,90.13
2017-12-31,22.98,$-0.02,0.0
2017-09-30,23.45,$0.31,75.94
2017-06-30,21.78,$0.36,60.86
2017-03-31,21.72,$0.48,45.26
2016-12-31,19.21,$1.17,16.38
2016-09-30,17.91,$0.71,25.32
2016-06-30,18.3,$0.59,30.76
2016-03-31,15.77,$0.62,25.6
2015-12-31,13.64,$0.67,20.5
2015-09-30,13.21,$0.67,19.84
2015-06-30,13.76,$0.81,17.08
2015-03-31,14.58,$0.63,23.2
2014-12-31,16.54,$0.06,285.73
2014-09-30,17.11,$0.54,31.67
2014-06-30,17.69,$0.49,36.3
2014-03-31,16.24,$0.33,48.82
2013-12-31,15.73,$0.76,20.74
2013-09-30,16.14,$0.71,22.62
2013-06-30,15.67,$1.04,15.02
2013-03-31,15.85,$1.74,9.09
2012-12-31,12.61,$1.51,8.36
2012-09-30,13.81,$1.53,9.03
2012-06-30,13.27,$1.12,11.8
2012-03-31,12.53,$1.05,11.94
2011-12-31,12.63,$1.36,9.26
2011-09-30,12.21,$1.01,12.13
2011-06-30,11.92,$0.65,18.24
2011-03-31,10.7,$-0.06,0.0
2010-12-31,9.46,$-0.30,0.0
2010-09-30,9.35,$-0.00,0.0
2010-06-30,7.72,$0.52,14.92
2010-03-31,8.31,$1.80,4.61
2009-12-31,8.28,$1.85,4.48
