Sunoco LP Price to Free Cash Flow Ratio Historical Data,Sunoco LP Price to Free Cash Flow Ratio Historical Data,Sunoco LP Price to Free Cash Flow Ratio Historical Data,Sunoco LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,57.86,,30.29
2024-12-31,51.44,$1.91,26.92
2024-09-30,52.8,$2.87,18.37
2024-06-30,54.67,$1.67,32.79
2024-03-31,57.38,$4.35,13.19
2023-12-31,56.25,$4.89,11.51
2023-09-30,45.17,$1.82,24.88
2023-06-30,39.46,$5.47,7.21
2023-03-31,39.01,$8.22,4.74
2022-12-31,37.65,$4.80,7.84
2022-09-30,33.4,$6.10,5.48
2022-06-30,31.28,$5.37,5.82
2022-03-31,33.64,$3.12,10.78
2021-12-31,33.02,$4.77,6.92
2021-09-30,29.57,$5.33,5.55
2021-06-30,29.23,$5.15,5.68
2021-03-31,24.12,$6.35,3.8
2020-12-31,21.26,$4.67,4.55
2020-09-30,17.46,$5.80,3.01
2020-06-30,15.85,$4.39,3.61
2020-03-31,10.49,$3.58,2.93
2019-12-31,19.99,$3.79,5.27
2019-09-30,20.05,$4.25,4.72
2019-06-30,19.43,$3.55,5.47
2019-03-31,18.84,$-0.00,0.0
2018-12-31,16.01,$4.49,3.56
2018-09-30,16.87,$2.42,6.99
2018-06-30,13.82,$5.00,2.76
2018-03-31,13.71,$7.19,1.91
2017-12-31,14.85,$2.11,7.05
2017-09-30,15.83,$4.97,3.19
2017-06-30,15.18,$3.21,4.72
2017-03-31,11.66,$2.64,4.42
2016-12-31,12.62,$3.80,3.32
2016-09-30,13.2,$5.32,2.48
2016-06-30,13.28,$7.73,1.72
2016-03-31,14.34,$4.35,3.3
2015-12-31,16.71,$4.35,3.84
2015-09-30,13.96,$12.53,1.11
2015-06-30,18.37,$7.95,2.31
2015-03-31,20.55,$12.63,1.63
2014-12-31,19.68,$6.17,3.19
2014-09-30,21.49,$-6.97,0.0
2014-06-30,18.17,$-8.66,0.0
2014-03-31,13.46,$-10.43,0.0
2013-12-31,12.5,$-5.70,0.0
2013-09-30,11.21,$-7.36,0.0
2013-06-30,10.75,$-2.87,0.0
