BRC Price to Free Cash Flow Ratio Historical Data,BRC Price to Free Cash Flow Ratio Historical Data,BRC Price to Free Cash Flow Ratio Historical Data,BRC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.16,,42.69
2024-12-31,3.17,$0.05,62.65
2024-09-30,3.42,$0.15,23.51
2024-06-30,6.13,$0.14,43.6
2024-03-31,4.28,$-0.38,0.0
2023-12-31,3.63,$-0.76,0.0
2023-09-30,3.59,$-1.86,0.0
2023-06-30,5.16,$-2.43,0.0
2023-03-31,5.14,$-2.38,0.0
2022-12-31,6.11,$-2.86,0.0
2022-09-30,7.73,$-1.87,0.0
2022-06-30,8.16,$-1.01,0.0
2022-03-31,20.87,$-0.83,0.0
