Tharimmune Price to Free Cash Flow Ratio Historical Data,Tharimmune Price to Free Cash Flow Ratio Historical Data,Tharimmune Price to Free Cash Flow Ratio Historical Data,Tharimmune Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.55,,0.04
2024-09-30,2.48,$38.97,0.06
2024-06-30,3.53,$21.50,0.16
2024-03-31,0.43,$25.21,0.02
2023-12-31,0.51,$-83.87,0.0
2023-09-30,0.2,$-160.84,0.0
2023-06-30,0.36,$-194.30,0.0
2023-03-31,0.79,$-233.01,0.0
2022-12-31,0.39,$-217.04,0.0
