PLBY Price to Free Cash Flow Ratio Historical Data,PLBY Price to Free Cash Flow Ratio Historical Data,PLBY Price to Free Cash Flow Ratio Historical Data,PLBY Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.16,,0.0
2024-12-31,1.46,$-0.28,0.0
2024-09-30,0.76,$-0.35,0.0
2024-06-30,0.78,$-0.48,0.0
2024-03-31,1.05,$-0.44,0.0
2023-12-31,1.0,$-0.66,0.0
2023-09-30,0.8,$-0.67,0.0
2023-06-30,1.68,$-0.39,0.0
2023-03-31,1.98,$-0.63,0.0
2022-12-31,2.75,$-1.06,0.0
2022-09-30,4.03,$-1.01,0.0
2022-06-30,6.4,$-1.46,0.0
2022-03-31,13.09,$-1.69,0.0
2021-12-31,26.64,$-1.42,0.0
2021-09-30,23.57,$-1.38,0.0
