Diamond Hill Investment Price to Free Cash Flow Ratio Historical Data,Diamond Hill Investment Price to Free Cash Flow Ratio Historical Data,Diamond Hill Investment Price to Free Cash Flow Ratio Historical Data,Diamond Hill Investment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,144.66,,26.19
2024-12-31,155.1,$5.52,28.08
2024-09-30,160.2,$16.94,9.46
2024-06-30,138.21,$14.84,9.31
2024-03-31,149.89,$11.90,12.6
2023-12-31,159.42,$11.75,13.57
2023-09-30,160.78,$11.37,14.14
2023-06-30,161.95,$11.89,13.62
2023-03-31,154.14,$12.41,12.42
2022-12-31,171.83,$12.67,13.56
2022-09-30,148.78,$8.71,17.09
2022-06-30,155.21,$7.39,20.99
2022-03-31,166.04,$8.72,19.04
2021-12-31,170.91,$7.93,21.55
2021-09-30,140.44,$10.91,12.87
2021-06-30,133.03,$12.04,11.05
2021-03-31,123.34,$12.17,10.14
2020-12-31,117.32,$17.83,6.58
2020-09-30,91.74,$16.20,5.66
2020-06-30,82.55,$14.59,5.66
2020-03-31,65.53,$12.37,5.3
2019-12-31,102.01,$16.37,6.23
2019-09-30,94.11,$16.82,5.6
2019-06-30,96.56,$18.28,5.28
2019-03-31,95.38,$17.79,5.36
2018-12-31,101.82,$7.78,13.09
2018-09-30,107.57,$8.27,13.0
2018-06-30,126.46,$8.82,14.34
2018-03-31,134.35,$9.80,13.7
2017-12-31,134.41,$17.33,7.76
2017-09-30,133.68,$15.04,8.89
2017-06-30,125.53,$6.92,18.14
2017-03-31,122.47,$9.05,13.54
2016-12-31,132.44,$5.74,23.08
2016-09-30,113.08,$7.08,15.98
2016-06-30,115.31,$15.23,7.57
2016-03-31,108.54,$13.33,8.14
2015-12-31,115.66,$15.02,7.7
2015-09-30,111.35,$15.27,7.29
2015-06-30,119.5,$14.53,8.23
2015-03-31,95.76,$15.04,6.37
2014-12-31,82.62,$12.59,6.56
2014-09-30,71.54,$11.64,6.14
2014-06-30,74.25,$11.43,6.5
2014-03-31,76.41,$9.46,8.08
2013-12-31,68.8,$10.66,6.45
2013-09-30,60.68,$9.65,6.29
2013-06-30,48.56,$7.98,6.09
2013-03-31,44.15,$7.97,5.54
2012-12-31,38.5,$7.82,4.92
2012-09-30,39.2,$6.95,5.64
2012-06-30,40.03,$7.39,5.42
2012-03-31,37.65,$7.45,5.05
2011-12-31,37.82,$7.61,4.97
2011-09-30,33.11,$9.55,3.47
2011-06-30,38.79,$9.16,4.24
2011-03-31,38.18,$8.88,4.3
2010-12-31,34.52,$9.36,3.69
2010-09-30,29.52,$7.62,3.87
2010-06-30,22.93,$7.10,3.23
2010-03-31,27.74,$6.05,4.59
2009-12-31,25.97,$6.33,4.1
