EverQuote Price to Free Cash Flow Ratio Historical Data,EverQuote Price to Free Cash Flow Ratio Historical Data,EverQuote Price to Free Cash Flow Ratio Historical Data,EverQuote Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.05,,16.46
2024-12-31,19.99,$1.70,11.73
2024-09-30,21.09,$1.12,18.89
2024-06-30,20.86,$0.77,27.07
2024-03-31,18.56,$0.54,34.66
2023-12-31,12.24,$0.20,62.54
2023-09-30,7.23,$0.05,146.95
2023-06-30,6.5,$-0.34,0.0
2023-03-31,13.9,$-0.56,0.0
2022-12-31,14.74,$-0.64,0.0
2022-09-30,6.82,$-0.69,0.0
2022-06-30,8.84,$-0.49,0.0
2022-03-31,16.18,$-0.10,0.0
2021-12-31,15.66,$0.15,105.24
2021-09-30,18.63,$0.25,75.76
2021-06-30,32.68,$0.37,87.97
2021-03-31,36.29,$0.23,155.88
2020-12-31,37.35,$0.25,149.1
2020-09-30,38.64,$0.52,73.82
2020-06-30,58.16,$0.49,118.89
2020-03-31,26.25,$0.33,78.59
2019-12-31,34.35,$0.06,615.59
2019-09-30,21.34,$-0.04,0.0
2019-06-30,13.0,$-0.28,0.0
2019-03-31,7.44,$-0.49,0.0
