Geopark Price to Free Cash Flow Ratio Historical Data,Geopark Price to Free Cash Flow Ratio Historical Data,Geopark Price to Free Cash Flow Ratio Historical Data,Geopark Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.82,,2.47
2024-09-30,7.73,$3.16,2.45
2024-06-30,10.59,$2.47,4.29
2024-03-31,9.28,$1.72,5.4
2023-12-31,8.17,$1.79,4.56
2023-09-30,9.66,$2.01,4.8
2023-06-30,9.18,$2.84,3.24
2023-03-31,10.39,$5.22,1.99
2022-12-31,13.97,$5.24,2.67
2022-09-30,10.51,$4.97,2.11
2022-06-30,11.47,$3.59,3.19
2022-03-31,13.19,$2.00,6.59
2021-12-31,10.05,$1.44,7.0
2021-09-30,11.17,$1.58,7.07
2021-06-30,11.03,$1.84,5.98
2021-03-31,13.93,$1.73,8.04
2020-12-31,11.29,$1.54,7.34
2020-09-30,6.37,$1.30,4.89
2020-06-30,8.48,$1.43,5.94
2020-03-31,6.12,$1.14,5.36
2019-12-31,18.93,$1.74,10.87
2019-09-30,15.73,$1.79,8.81
2019-06-30,15.84,$1.83,8.66
2019-03-31,14.78,$1.85,7.98
2018-12-31,11.81,$2.01,5.87
2018-09-30,17.43,$1.34,13.0
2018-06-30,17.64,$0.69,25.55
2018-03-31,10.6,$1.14,9.31
2017-12-31,8.47,$0.61,13.98
2017-09-30,7.49,$0.83,9.02
2017-06-30,6.45,$1.03,6.27
2017-03-31,6.14,$0.84,7.33
2016-12-31,3.68,$0.73,5.07
2016-09-30,2.84,$0.27,10.34
2016-06-30,2.78,$-0.06,0.0
2016-03-31,2.5,$0.17,14.72
2015-12-31,2.31,$-0.39,0.0
2015-09-30,2.61,$-0.21,0.0
2015-06-30,4.03,$-0.02,0.0
2015-03-31,3.27,$-0.36,0.0
2014-12-31,4.38,$-0.13,0.0
2014-09-30,8.37,$-2.04,0.0
2014-06-30,7.82,$-2.20,0.0
2014-03-31,6.04,$-2.30,0.0
2013-12-31,8.58,$-1.96,0.0
2013-09-30,7.53,0,0.0
2013-06-30,7.78,0,0.0
2013-03-31,8.34,$0.18,45.88
