EMX Royalty Price to Free Cash Flow Ratio Historical Data,EMX Royalty Price to Free Cash Flow Ratio Historical Data,EMX Royalty Price to Free Cash Flow Ratio Historical Data,EMX Royalty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.96,,32.34
2024-12-31,1.73,$0.06,28.55
2024-09-30,1.78,$0.04,43.0
2024-06-30,1.8,$0.11,16.79
2024-03-31,1.72,$0.10,16.75
2023-12-31,1.62,$0.06,25.51
2023-09-30,1.78,$0.06,27.73
2023-06-30,1.9,$0.01,0.0
2023-03-31,1.99,$-0.03,0.0
2022-12-31,1.89,$0.15,12.59
2022-09-30,1.86,$0.13,14.81
2022-06-30,1.85,$0.08,24.57
2022-03-31,2.17,$0.07,29.25
2021-12-31,2.27,$-0.09,0.0
2021-09-30,2.56,$-0.11,0.0
2021-06-30,2.98,$-0.10,0.0
2021-03-31,2.96,$-0.07,0.0
2020-12-31,3.35,$-0.08,0.0
2020-09-30,2.63,$-0.11,0.0
2020-06-30,2.16,$-0.11,0.0
2020-03-31,1.36,$-0.09,0.0
2019-12-31,1.64,$-0.13,0.0
2019-09-30,1.36,$-0.10,0.0
2019-06-30,1.22,$-0.09,0.0
2019-03-31,1.17,$-0.12,0.0
2018-12-31,1.13,$-0.06,0.0
2018-09-30,1.22,$-0.04,0.0
2018-06-30,1.02,$-0.03,0.0
2018-03-31,0.88,$-0.03,0.0
2017-12-31,0.83,$-0.03,0.0
2017-09-30,0.84,$-0.03,0.0
2017-06-30,0.93,$-0.05,0.0
2017-03-31,0.94,$0.03,30.62
2016-09-30,1.07,$-0.02,0.0
2016-03-31,0.64,$-0.02,0.0
2015-12-31,0.43,$0.00,0.0
2015-09-30,0.46,$-0.00,0.0
2015-06-30,0.51,$0.04,14.41
2015-03-31,0.73,0,0.0
2014-12-31,0.76,0,0.0
2014-09-30,0.71,$-0.05,0.0
2014-06-30,0.81,$-0.04,0.0
2014-03-31,1.04,0,0.0
2013-12-31,1.02,0,0.0
2013-09-30,1.24,0,0.0
2013-06-30,1.21,0,0.0
2013-03-31,2.06,0,0.0
2012-12-31,2.06,0,0.0
2012-09-30,2.23,$0.07,31.72
2012-06-30,1.96,$0.04,44.51
2012-03-31,2.36,$0.19,12.58
2011-12-31,2.11,$0.00,0.0
