American Price to Free Cash Flow Ratio Historical Data,American Price to Free Cash Flow Ratio Historical Data,American Price to Free Cash Flow Ratio Historical Data,American Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,83.71,,16.81
2024-12-31,72.8,$4.98,14.62
2024-09-30,72.83,$7.04,10.35
2024-06-30,73.43,$9.26,7.93
2024-03-31,76.9,$8.69,8.84
2023-12-31,66.33,$8.61,7.71
2023-09-30,59.01,$6.54,9.03
2023-06-30,55.71,$6.02,9.25
2023-03-31,48.45,$5.87,8.26
2022-12-31,60.45,$5.25,11.52
2022-09-30,45.16,$5.67,7.97
2022-06-30,48.34,$4.72,10.24
2022-03-31,58.98,$6.51,9.06
2021-12-31,53.15,$7.20,7.39
2021-09-30,51.01,$7.17,7.12
2021-06-30,43.97,$4.69,9.38
2021-03-31,42.42,$2.59,16.37
2020-12-31,34.53,$1.19,28.92
2020-09-30,24.9,$-0.45,0.0
2020-06-30,27.9,$-0.88,0.0
2020-03-31,21.49,$-1.59,0.0
2019-12-31,44.99,$-2.03,0.0
2019-09-30,48.51,$-1.27,0.0
2019-06-30,46.14,$-1.49,0.0
2019-03-31,37.07,$-0.53,0.0
2018-12-31,33.68,$-0.43,0.0
2018-09-30,45.11,$1.31,34.46
2018-06-30,44.65,$0.76,59.0
2018-03-31,45.56,$0.87,52.6
2017-12-31,49.59,$-8.40,0.0
2017-09-30,50.83,$-8.13,0.0
2017-06-30,51.49,$-6.82,0.0
2017-03-31,51.16,$-6.23,0.0
2016-12-31,53.25,$3.21,16.59
2016-09-30,48.14,$2.00,24.08
2016-06-30,42.67,$2.30,18.59
2016-03-31,43.36,$1.04,41.73
2015-12-31,49.41,$2.16,22.92
2015-09-30,45.1,$2.18,20.65
2015-06-30,48.83,$2.70,18.09
2015-03-31,43.19,$3.22,13.41
2014-12-31,44.05,$3.46,12.74
2014-09-30,42.39,$4.32,9.81
2014-06-30,42.73,$3.95,10.82
2014-03-31,39.07,$4.58,8.53
2013-12-31,39.78,$3.96,10.05
2013-09-30,37.82,$3.11,12.17
2013-06-30,34.69,$2.38,14.58
2013-03-31,30.13,$2.03,14.86
2012-12-31,27.4,$2.18,12.57
2012-09-30,25.45,$2.32,10.99
2012-06-30,24.9,$2.81,8.86
2012-03-31,23.93,$3.42,7.01
2011-12-31,18.01,$-0.04,0.0
2011-09-30,17.04,$9.59,1.78
2011-06-30,22.76,$47.59,0.48
2011-03-31,27.27,$94.51,0.29
2010-12-31,37.53,$121.46,0.31
2010-09-30,25.47,$162.16,0.16
2010-06-30,22.43,$151.48,0.15
2010-03-31,22.23,$133.74,0.17
2009-12-31,19.53,$137.33,0.14
