Globe Life Price to Free Cash Flow Ratio Historical Data,Globe Life Price to Free Cash Flow Ratio Historical Data,Globe Life Price to Free Cash Flow Ratio Historical Data,Globe Life Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,128.6,,8.66
2024-12-31,111.52,$14.85,7.51
2024-09-30,105.67,$15.32,6.9
2024-06-30,81.85,$14.42,5.68
2024-03-31,115.52,$13.67,8.45
2023-12-31,120.6,$14.87,8.11
2023-09-30,107.51,$14.59,7.37
2023-06-30,108.17,$15.30,7.07
2023-03-31,108.57,$14.99,7.25
2022-12-31,118.51,$14.09,8.41
2022-09-30,97.82,$14.01,6.98
2022-06-30,95.44,$13.93,6.85
2022-03-31,98.3,$14.06,6.99
2021-12-31,91.39,$13.56,6.74
2021-09-30,86.63,$13.63,6.36
2021-06-30,92.5,$12.90,7.17
2021-03-31,93.65,$13.72,6.83
2020-12-31,91.85,$13.38,6.86
2020-09-30,77.11,$12.66,6.09
2020-06-30,71.45,$12.90,5.54
2020-03-31,69.08,$11.22,6.16
2019-12-31,100.86,$11.87,8.5
2019-09-30,91.6,$11.80,7.76
2019-06-30,85.41,$11.49,7.44
2019-03-31,78.08,$11.23,6.95
2018-12-31,70.86,$10.69,6.63
2018-09-30,82.27,$10.70,7.69
2018-06-30,77.11,$10.87,7.09
2018-03-31,79.57,$11.22,7.09
2017-12-31,85.61,$11.84,7.23
2017-09-30,75.45,$12.39,6.09
2017-06-30,72.06,$12.49,5.77
2017-03-31,72.43,$12.29,5.9
2016-12-31,69.08,$11.22,6.15
2016-09-30,59.71,$10.89,5.48
2016-06-30,57.78,$9.96,5.8
2016-03-31,50.5,$9.15,5.52
2015-12-31,53.03,$8.54,6.21
2015-09-30,52.33,$7.21,7.26
2015-06-30,53.89,$6.82,7.9
2015-03-31,50.71,$6.57,7.72
2014-12-31,49.9,$6.44,7.75
2014-09-30,48.01,$7.20,6.67
2014-06-30,50.07,$7.51,6.67
2014-03-31,31.94,$7.90,4.04
2013-12-31,31.72,$7.94,3.99
2013-09-30,29.23,$7.11,4.11
2013-06-30,26.25,$6.87,3.82
2013-03-31,24.03,$6.56,3.66
2012-12-31,20.7,$6.39,3.24
2012-09-30,20.51,$5.67,3.62
2012-06-30,20.13,$5.55,3.63
2012-03-31,19.8,$5.39,3.67
2011-12-31,17.18,$5.20,3.3
2011-09-30,13.76,$5.80,2.37
2011-06-30,16.88,$5.66,2.98
2011-03-31,17.45,$5.58,3.13
2010-12-31,15.6,$5.52,2.83
2010-09-30,13.88,$6.11,2.27
2010-06-30,12.89,$5.81,2.22
2010-03-31,13.89,$5.66,2.45
2009-12-31,11.34,$5.19,2.18
