Fastenal Price to Free Cash Flow Ratio Historical Data,Fastenal Price to Free Cash Flow Ratio Historical Data,Fastenal Price to Free Cash Flow Ratio Historical Data,Fastenal Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,75.51,,45.21
2024-12-31,71.91,$1.67,43.05
2024-09-30,71.05,$1.84,38.64
2024-06-30,62.17,$2.02,30.77
2024-03-31,75.89,$2.10,36.2
2023-12-31,63.35,$2.22,28.54
2023-09-30,52.79,$2.11,25.01
2023-06-30,56.65,$1.88,30.1
2023-03-31,51.46,$1.64,31.45
2022-12-31,44.84,$1.35,33.15
2022-09-30,43.34,$1.10,39.34
2022-06-30,46.69,$0.94,49.76
2022-03-31,55.25,$0.99,55.59
2021-12-31,59.26,$1.08,54.99
2021-09-30,47.51,$1.36,34.88
2021-06-30,47.62,$1.60,29.77
2021-03-31,45.8,$1.73,26.52
2020-12-31,44.21,$1.64,26.95
2020-09-30,40.26,$1.49,27.02
2020-06-30,38.05,$1.39,27.45
2020-03-31,27.57,$1.12,24.57
2019-12-31,32.37,$1.05,30.84
2019-09-30,28.46,$0.89,31.98
2019-06-30,28.19,$0.81,34.97
2019-03-31,27.65,$0.92,30.0
2018-12-31,22.32,$0.88,25.26
2018-09-30,24.57,$0.87,28.27
2018-06-30,20.24,$0.85,23.76
2018-03-31,22.79,$0.72,31.8
2017-12-31,22.68,$0.82,27.66
2017-09-30,18.77,$0.85,22.21
2017-06-30,17.79,$0.71,25.11
2017-03-31,20.91,$0.67,30.98
2016-12-31,18.95,$0.58,32.53
2016-09-30,16.72,$0.59,28.22
2016-06-30,17.64,$0.68,25.94
2016-03-31,19.35,$0.70,27.68
2015-12-31,15.99,$0.69,23.06
2015-09-30,14.24,$0.70,20.24
2015-06-30,16.29,$0.62,26.3
2015-03-31,15.9,$0.58,27.6
2014-12-31,18.13,$0.53,34.15
2014-09-30,17.01,$0.39,43.23
2014-06-30,18.65,$0.37,50.82
2014-03-31,18.49,$0.37,49.93
2013-12-31,17.71,$0.36,49.15
2013-09-30,18.65,$0.39,47.33
2013-06-30,16.89,$0.41,40.88
2013-03-31,18.86,$0.44,42.58
2012-12-31,17.11,$0.44,38.74
2012-09-30,15.5,$0.42,36.91
2012-06-30,14.47,$0.42,34.86
2012-03-31,19.35,$0.34,56.46
2011-12-31,15.54,$0.26,60.5
2011-09-30,11.81,$0.25,46.86
2011-06-30,12.73,$0.22,58.49
2011-03-31,11.42,$0.26,43.9
2010-12-31,10.47,$0.29,36.03
2010-09-30,9.22,$0.28,32.38
2010-06-30,8.63,$0.35,24.39
2010-03-31,8.25,$0.43,19.27
2009-12-31,7.09,$0.44,16.28
