Orange County Bancorp Price to Free Cash Flow Ratio Historical Data,Orange County Bancorp Price to Free Cash Flow Ratio Historical Data,Orange County Bancorp Price to Free Cash Flow Ratio Historical Data,Orange County Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.42,,7.52
2024-09-30,60.32,$3.25,18.57
2024-06-30,52.88,$3.33,15.9
2024-03-31,46.0,$3.34,13.79
2023-12-31,60.24,$3.68,16.38
2023-09-30,43.17,$2.91,14.85
2023-06-30,37.0,$3.02,12.25
2023-03-31,44.0,$2.82,15.59
2022-12-31,46.58,$2.57,18.1
2022-09-30,38.5,$2.56,15.06
2022-06-30,37.75,$2.74,13.76
