Skyward Specialty Insurance Price to Free Cash Flow Ratio Historical Data,Skyward Specialty Insurance Price to Free Cash Flow Ratio Historical Data,Skyward Specialty Insurance Price to Free Cash Flow Ratio Historical Data,Skyward Specialty Insurance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,49.85,,6.86
2024-12-31,50.54,$7.27,6.95
2024-09-30,40.73,$9.81,4.15
2024-06-30,36.18,$8.66,4.18
2024-03-31,37.41,$8.15,4.59
2023-12-31,33.88,$8.74,3.87
