Protalix BioTherapeutics Price to Free Cash Flow Ratio Historical Data,Protalix BioTherapeutics Price to Free Cash Flow Ratio Historical Data,Protalix BioTherapeutics Price to Free Cash Flow Ratio Historical Data,Protalix BioTherapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.36,,25.88
2024-12-31,1.88,$0.09,20.61
2024-09-30,1.02,$0.09,11.78
2024-06-30,1.17,$-0.05,0.0
2024-03-31,1.26,$0.08,16.62
2023-12-31,1.78,$-0.03,0.0
2023-09-30,1.66,$-0.14,0.0
2023-06-30,2.0,$-0.22,0.0
2023-03-31,2.1,$-0.45,0.0
2022-12-31,1.37,$-0.53,0.0
2022-09-30,1.04,$-0.59,0.0
2022-06-30,1.09,$-0.46,0.0
2022-03-31,1.06,$-0.14,0.0
2021-12-31,0.83,$-0.26,0.0
2021-09-30,1.33,$-0.48,0.0
2021-06-30,1.91,$-0.54,0.0
2021-03-31,4.46,$-0.76,0.0
2020-12-31,3.63,$-0.92,0.0
2020-09-30,3.87,$-0.83,0.0
2020-06-30,3.79,$-0.96,0.0
2020-03-31,2.35,$-1.26,0.0
2019-12-31,3.28,$-1.35,0.0
2019-09-30,2.05,$-1.38,0.0
2019-06-30,4.69,$-0.21,0.0
2019-03-31,4.4,$-0.41,0.0
2018-12-31,3.11,$-0.57,0.0
2018-09-30,7.27,$1.01,7.19
2018-06-30,4.3,$-1.13,0.0
2018-03-31,5.4,$-0.81,0.0
2017-12-31,6.61,$-0.84,0.0
2017-09-30,5.8,$-2.83,0.0
2017-06-30,8.38,$-1.97,0.0
2017-03-31,13.6,$-2.95,0.0
2016-12-31,4.45,$-3.25,0.0
2016-09-30,5.7,$-2.94,0.0
2016-06-30,6.4,$-3.51,0.0
2016-03-31,8.41,$-2.90,0.0
2015-12-31,10.2,$-2.61,0.0
2015-09-30,11.8,$-2.77,0.0
2015-06-30,19.5,$-2.89,0.0
2015-03-31,17.8,$-3.01,0.0
2014-12-31,18.4,$-3.24,0.0
2014-09-30,24.2,$-3.23,0.0
2014-06-30,36.5,$-3.10,0.0
2014-03-31,45.8,$-3.34,0.0
2013-12-31,38.9,$-3.52,0.0
2013-09-30,45.3,$-2.81,0.0
2013-06-30,49.1,$-2.83,0.0
2013-03-31,54.9,$-0.46,0.0
2012-12-31,51.9,$-0.16,0.0
2012-09-30,51.8,$-1.22,0.0
2012-06-30,57.3,$-1.35,0.0
2012-03-31,63.7,$-3.46,0.0
2011-12-31,49.3,$-3.46,0.0
2011-09-30,46.0,$-3.68,0.0
2011-06-30,62.6,$-3.98,0.0
2011-03-31,60.8,$-5.06,0.0
2010-12-31,99.8,$-5.72,0.0
2010-09-30,86.9,$3.02,28.76
2010-06-30,61.1,$3.50,17.46
2010-03-31,65.6,$4.46,14.71
2009-12-31,66.2,$4.98,13.29
