Harley-Davidson Price to Free Cash Flow Ratio Historical Data,Harley-Davidson Price to Free Cash Flow Ratio Historical Data,Harley-Davidson Price to Free Cash Flow Ratio Historical Data,Harley-Davidson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,25.24,,3.85
2024-12-31,30.13,$6.56,4.6
2024-09-30,38.33,$5.87,6.53
2024-06-30,33.22,$5.20,6.38
2024-03-31,43.32,$4.18,10.35
2023-12-31,36.31,$3.77,9.62
2023-09-30,32.42,$3.26,9.94
2023-06-30,34.35,$3.60,9.54
2023-03-31,36.86,$1.94,18.96
2022-12-31,40.24,$2.66,15.15
2022-09-30,33.63,$3.28,10.25
2022-06-30,30.41,$2.89,10.53
2022-03-31,37.66,$5.31,7.09
2021-12-31,35.89,$5.52,6.5
2021-09-30,34.73,$5.60,6.2
2021-06-30,43.29,$7.17,6.04
2021-03-31,37.77,$8.00,4.72
2020-12-31,34.42,$6.80,5.06
2020-09-30,23.0,$6.49,3.54
2020-06-30,22.27,$5.31,4.2
2020-03-31,17.72,$4.10,4.32
2019-12-31,34.37,$4.35,7.9
2019-09-30,32.92,$4.58,7.19
2019-06-30,32.45,$4.56,7.11
2019-03-31,31.94,$4.98,6.41
2018-12-31,30.25,$5.96,5.07
2018-09-30,39.74,$5.74,6.92
2018-06-30,36.61,$5.43,6.75
2018-03-31,36.98,$4.82,7.68
2017-12-31,43.54,$4.62,9.43
2017-09-30,40.95,$5.71,7.17
2017-06-30,45.54,$6.34,7.18
2017-03-31,50.65,$5.84,8.67
2016-12-31,48.53,$5.09,9.54
2016-09-30,43.5,$4.08,10.66
2016-06-30,37.21,$3.51,10.59
2016-03-31,41.83,$3.49,11.98
2015-12-31,36.66,$4.12,8.89
2015-09-30,44.05,$4.61,9.56
2015-06-30,44.95,$4.47,10.05
2015-03-31,48.18,$4.04,11.93
2014-12-31,52.03,$4.20,12.39
2014-09-30,45.76,$4.14,11.05
2014-06-30,54.68,$4.26,12.85
2014-03-31,51.95,$4.82,10.79
2013-12-31,53.77,$3.43,15.67
2013-09-30,49.73,$3.16,15.75
2013-06-30,42.3,$3.12,13.54
2013-03-31,40.97,$2.52,16.27
2012-12-31,37.39,$2.67,13.99
2012-09-30,32.34,$2.30,14.07
2012-06-30,34.77,$2.24,15.51
2012-03-31,37.2,$3.10,12.0
2011-12-31,29.36,$2.96,9.91
2011-09-30,25.85,$2.95,8.76
2011-06-30,30.74,$3.04,10.11
2011-03-31,31.77,$2.87,11.07
2010-12-31,25.86,$4.23,6.12
2010-09-30,21.15,$4.69,4.51
2010-06-30,16.48,$5.75,2.87
2010-03-31,20.73,$3.96,5.23
2009-12-31,18.54,$2.11,8.8
