Honeywell Price to Free Cash Flow Ratio Historical Data,Honeywell Price to Free Cash Flow Ratio Historical Data,Honeywell Price to Free Cash Flow Ratio Historical Data,Honeywell Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,210.89,,28.01
2024-12-31,225.89,$7.53,30.01
2024-09-30,205.7,$8.56,24.03
2024-06-30,211.34,$8.29,25.51
2024-03-31,202.08,$8.26,24.45
2023-12-31,205.36,$6.50,31.59
2023-09-30,179.85,$5.71,31.47
2023-06-30,200.91,$6.16,32.6
2023-03-31,184.07,$5.40,34.06
2022-12-31,205.31,$6.64,30.91
2022-09-30,159.18,$6.93,22.98
2022-06-30,164.89,$5.45,30.25
2022-03-31,183.66,$6.09,30.16
2021-12-31,195.75,$7.38,26.52
2021-09-30,198.43,$7.53,26.37
2021-06-30,204.22,$7.28,28.05
2021-03-31,201.26,$7.50,26.82
2020-12-31,196.32,$7.54,26.05
2020-09-30,151.22,$7.08,21.35
2020-06-30,132.08,$7.84,16.85
2020-03-31,121.35,$8.13,14.92
2019-12-31,159.65,$8.35,19.11
2019-09-30,151.85,$6.93,21.92
2019-06-30,156.69,$7.36,21.28
2019-03-31,141.93,$7.50,18.92
2018-12-31,117.36,$7.46,15.72
2018-09-30,142.42,$8.11,17.55
2018-06-30,122.7,$7.43,16.52
2018-03-31,122.47,$6.79,18.05
2017-12-31,129.34,$6.50,19.89
2017-09-30,118.94,$6.39,18.62
2017-06-30,111.31,$6.46,17.23
2017-03-31,103.75,$6.57,15.78
2016-12-31,95.74,$5.71,16.78
2016-09-30,95.24,$5.51,17.28
2016-06-30,94.54,$5.70,16.59
2016-03-31,90.59,$5.49,16.5
2015-12-31,83.26,$5.65,14.73
2015-09-30,75.68,$5.41,13.98
2015-06-30,81.1,$4.80,16.91
2015-03-31,82.56,$4.73,17.46
2014-12-31,78.7,$5.04,15.63
2014-09-30,72.95,$4.86,15.0
2014-06-30,72.47,$4.73,15.33
2014-03-31,71.97,$4.66,15.45
2013-12-31,70.55,$4.27,16.53
2013-09-30,63.79,$4.00,15.94
2013-06-30,60.65,$3.87,15.65
2013-03-31,57.3,$3.52,16.3
2012-12-31,47.98,$3.33,14.4
2012-09-30,44.86,$3.44,13.03
2012-06-30,41.66,$3.10,13.44
2012-03-31,45.25,$3.34,13.53
2011-12-31,39.78,$2.58,15.43
2011-09-30,31.92,$2.11,15.16
2011-06-30,43.0,$2.96,14.54
2011-03-31,42.85,$2.98,14.36
2010-12-31,37.93,$4.57,8.31
2010-09-30,31.16,$5.06,6.15
2010-06-30,27.48,$4.90,5.61
2010-03-31,31.66,$5.01,6.32
2009-12-31,27.2,$4.46,6.1
