One Liberty Properties Price to Free Cash Flow Ratio Historical Data,One Liberty Properties Price to Free Cash Flow Ratio Historical Data,One Liberty Properties Price to Free Cash Flow Ratio Historical Data,One Liberty Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.33,,11.19
2024-12-31,27.24,$2.35,11.58
2024-09-30,27.54,$2.63,10.47
2024-06-30,23.1,$3.36,6.88
2024-03-31,21.8,$3.16,6.89
2023-12-31,20.72,$3.50,5.93
2023-09-30,17.07,$1.56,10.91
2023-06-30,18.38,$2.23,8.25
2023-03-31,20.29,$1.34,15.18
2022-12-31,19.27,$0.88,21.94
2022-09-30,17.87,$1.43,12.48
2022-06-30,21.63,$0.90,23.99
2022-03-31,25.17,$3.37,7.47
2021-12-31,28.42,$3.50,8.13
2021-09-30,24.24,$3.79,6.4
2021-06-30,22.25,$4.74,4.7
2021-03-31,17.18,$2.90,5.92
2020-12-31,15.17,$1.79,8.49
2020-09-30,12.11,$1.93,6.27
2020-06-30,12.71,$1.35,9.42
2020-03-31,9.79,$0.25,39.03
2019-12-31,18.4,$1.23,14.91
2019-09-30,18.33,$-1.72,0.0
2019-06-30,18.98,$-1.44,0.0
2019-03-31,18.72,$-0.61,0.0
2018-12-31,15.4,$-0.96,0.0
2018-09-30,17.35,$1.40,12.43
2018-06-30,16.23,$1.69,9.6
2018-03-31,13.36,$0.66,20.35
2017-12-31,15.37,$1.14,13.44
2017-09-30,14.2,$1.41,10.11
2017-06-30,13.41,$-3.58,0.0
2017-03-31,13.13,$-2.58,0.0
2016-12-31,13.86,$-3.03,0.0
2016-09-30,13.1,$-2.92,0.0
2016-06-30,12.72,$0.03,434.2
2016-03-31,11.75,$-0.63,0.0
2015-12-31,11.04,$-1.29,0.0
2015-09-30,10.77,$-0.44,0.0
2015-06-30,10.55,$0.76,13.9
2015-03-31,11.9,$0.07,174.0
2014-12-31,11.35,$1.13,10.03
2014-09-30,9.55,$-0.40,0.0
2014-06-30,9.89,$-6.75,0.0
2014-03-31,9.72,$-5.20,0.0
2013-12-31,9.03,$-5.56,0.0
2013-09-30,8.94,$-6.47,0.0
2013-06-30,9.53,$0.99,9.64
2013-03-31,9.28,$1.13,8.21
2012-12-31,8.53,$0.61,13.96
2012-09-30,7.71,$1.52,5.06
2012-06-30,7.65,$-1.01,0.0
2012-03-31,7.31,$-0.34,0.0
2011-12-31,6.47,$0.27,23.8
2011-09-30,5.64,$-0.43,0.0
2011-06-30,5.81,$0.57,10.11
2011-03-31,5.56,$-1.03,0.0
2010-12-31,6.02,$-1.36,0.0
2010-09-30,5.63,$1.90,2.96
2010-06-30,5.18,$2.35,2.2
2010-03-31,5.68,$3.41,1.66
2009-12-31,2.94,$4.17,0.7
