Caledonia Mining Price to Free Cash Flow Ratio Historical Data,Caledonia Mining Price to Free Cash Flow Ratio Historical Data,Caledonia Mining Price to Free Cash Flow Ratio Historical Data,Caledonia Mining Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.6,,60.1
2024-09-30,14.77,$0.19,76.51
2024-06-30,9.47,$0.06,171.95
2024-03-31,10.66,$-0.47,0.0
2023-12-31,11.6,$-0.84,0.0
2023-09-30,9.25,$-0.72,0.0
2023-06-30,10.78,$-0.66,0.0
2023-03-31,13.99,$-0.46,0.0
2022-12-31,11.3,$-0.11,0.0
2022-09-30,8.83,$-0.31,0.0
2022-06-30,9.71,$-0.30,0.0
2022-03-31,13.38,$-0.18,0.0
2021-12-31,10.14,$-0.57,0.0
2021-09-30,10.41,$-0.18,0.0
2021-06-30,10.3,$-0.25,0.0
2021-03-31,12.07,$-0.57,0.0
2020-12-31,13.32,$0.27,49.99
2020-09-30,14.18,$0.25,56.67
2020-06-30,14.39,$0.42,34.65
2020-03-31,7.67,$0.17,44.44
2019-12-31,6.89,$-0.18,0.0
2019-09-30,5.47,$-0.08,0.0
2019-06-30,5.11,$0.14,37.85
2019-03-31,4.77,$-0.30,0.0
2018-12-31,4.12,$-0.24,0.0
2018-09-30,5.28,$-0.13,0.0
2018-06-30,6.49,$-0.19,0.0
