Yirendai Price to Free Cash Flow Ratio Historical Data,Yirendai Price to Free Cash Flow Ratio Historical Data,Yirendai Price to Free Cash Flow Ratio Historical Data,Yirendai Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.85,,2.83
2024-09-30,5.69,$2.42,2.35
2024-06-30,4.38,$3.29,1.33
2024-03-31,4.36,$3.78,1.15
2023-12-31,3.01,$3.42,0.88
2023-09-30,2.35,$4.57,0.51
2023-06-30,2.2,$3.92,0.56
2023-03-31,2.06,$3.43,0.6
2022-09-30,1.03,$2.41,0.43
2021-12-31,2.76,$0.27,10.05
2021-09-30,2.91,$0.40,7.24
2021-06-30,5.81,$-0.19,0.0
2021-03-31,4.9,$-0.64,0.0
2020-12-31,3.23,$0.46,7.04
2020-09-30,2.84,$0.07,41.16
2020-06-30,3.99,$1.89,2.11
2020-03-31,3.87,$2.25,1.72
2019-12-31,5.36,$0.35,15.39
2019-09-30,6.78,$-1.44,0.0
2019-06-30,13.29,$0.59,22.63
2019-03-31,13.1,$-2.22,0.0
2018-12-31,10.39,$-2.04,0.0
2018-09-30,17.78,$2.82,6.3
2018-06-30,20.5,$-0.19,0.0
2018-03-31,38.56,$5.78,6.67
2017-12-31,42.14,$6.65,6.33
2017-09-30,40.2,$6.60,6.09
2017-06-30,23.16,$6.39,3.63
2017-03-31,23.24,$5.05,4.61
2016-12-31,19.19,$5.05,3.8
2016-09-30,21.93,$3.08,7.13
