Oxford Square Capital Price to Free Cash Flow Ratio Historical Data,Oxford Square Capital Price to Free Cash Flow Ratio Historical Data,Oxford Square Capital Price to Free Cash Flow Ratio Historical Data,Oxford Square Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.59,,6.39
2024-12-31,2.44,$0.41,6.02
2024-09-30,2.76,$0.73,3.79
2024-06-30,2.77,$1.10,2.51
2024-03-31,2.89,$1.42,2.03
2023-12-31,2.52,$1.22,2.07
2023-09-30,2.56,$1.01,2.52
2023-06-30,2.09,$0.48,4.4
2023-03-31,2.41,$0.32,7.48
2022-12-31,2.31,$0.41,5.64
2022-09-30,2.15,$0.27,8.07
2022-06-30,2.53,$-0.40,0.0
2022-03-31,2.84,$-1.65,0.0
2021-12-31,2.7,$-2.16,0.0
2021-09-30,2.61,$-0.80,0.0
2021-06-30,3.09,$-0.27,0.0
2021-03-31,2.86,$1.16,2.47
2020-12-31,1.83,$1.92,0.95
2020-09-30,1.43,$1.31,1.09
2020-06-30,1.56,$1.83,0.85
2020-03-31,1.32,$1.20,1.11
2019-12-31,2.7,$1.00,2.7
2019-09-30,2.98,$0.90,3.31
2019-06-30,2.97,$-1.28,0.0
2019-03-31,2.92,$-1.09,0.0
2018-12-31,2.82,$-0.68,0.0
2018-09-30,3.01,$-0.83,0.0
2018-06-30,2.84,$1.47,1.93
2018-03-31,2.44,$2.64,0.93
2017-12-31,2.22,$3.73,0.6
2017-09-30,2.56,$4.29,0.6
2017-06-30,2.3,$4.81,0.48
2017-03-31,2.61,$4.18,0.62
2016-12-31,2.27,$2.96,0.77
2016-09-30,1.92,$4.76,0.4
2016-06-30,1.65,$3.70,0.45
2016-03-31,1.43,$3.77,0.38
2015-12-31,1.71,$3.49,0.49
2015-09-30,1.8,$-0.24,0.0
2015-06-30,1.72,$0.36,4.73
2015-03-31,1.7,$-0.78,0.0
2014-12-31,1.78,$-0.77,0.0
2014-09-30,2.02,$0.21,9.83
2014-06-30,2.19,$-0.80,0.0
2014-03-31,2.1,$-0.49,0.0
2013-12-31,2.16,$-3.30,0.0
2013-09-30,1.98,$-6.91,0.0
2013-06-30,1.9,$-7.28,0.0
2013-03-31,1.9,$-7.20,0.0
2012-12-31,1.88,$-5.32,0.0
2012-09-30,1.88,$-2.27,0.0
2012-06-30,1.7,$-3.02,0.0
2012-03-31,1.66,$-3.20,0.0
2011-12-31,1.44,$-3.53,0.0
2011-09-30,1.32,$-2.38,0.0
2011-06-30,1.51,$-0.45,0.0
2011-03-31,1.67,$-0.32,0.0
2010-12-31,1.68,$0.69,2.44
2010-09-30,1.52,$0.05,32.62
2010-06-30,1.2,$-0.16,0.0
2010-03-31,0.92,$0.70,1.32
2009-12-31,0.83,$0.92,0.9
