Splash Beverage Price to Free Cash Flow Ratio Historical Data,Splash Beverage Price to Free Cash Flow Ratio Historical Data,Splash Beverage Price to Free Cash Flow Ratio Historical Data,Splash Beverage Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-14,0.07,,0.0
2024-09-30,0.25,$-1.25,0.0
2024-06-30,0.23,$-0.16,0.0
2024-03-31,0.46,$-0.16,0.0
2023-12-31,0.55,$-0.24,0.0
2023-09-30,0.59,$-0.29,0.0
2023-06-30,1.12,$-0.34,0.0
2023-03-31,1.64,$-0.36,0.0
2022-12-31,0.96,$-0.38,0.0
2022-09-30,1.37,$-0.43,0.0
2022-06-30,2.99,$-0.46,0.0
2022-03-31,2.84,$-0.65,0.0
