Orion Office REIT Price to Free Cash Flow Ratio Historical Data,Orion Office REIT Price to Free Cash Flow Ratio Historical Data,Orion Office REIT Price to Free Cash Flow Ratio Historical Data,Orion Office REIT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.35,,65.1
2024-12-31,3.71,$0.04,102.77
2024-09-30,4.0,$0.31,12.78
2024-06-30,3.59,$1.36,2.64
2024-03-31,3.51,$1.60,2.2
2023-12-31,5.72,$1.63,3.52
2023-09-30,5.21,$1.84,2.83
2023-06-30,6.61,$2.11,3.13
2023-03-31,6.7,$2.06,3.26
2022-12-31,8.54,$2.37,3.6
2022-09-30,8.75,$2.60,3.37
