DSS Price to Free Cash Flow Ratio Historical Data,DSS Price to Free Cash Flow Ratio Historical Data,DSS Price to Free Cash Flow Ratio Historical Data,DSS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.92,,0.0
2024-09-30,1.27,$-0.34,0.0
2024-06-30,1.72,$-0.04,0.0
2024-03-31,1.81,$-1.01,0.0
2023-12-31,2.4,$-2.83,0.0
2023-09-30,3.68,$-4.60,0.0
2023-06-30,7.17,$-0.28,0.0
2023-03-31,4.3,$-5.88,0.0
2022-12-31,3.28,$-4.91,0.0
2022-09-30,5.12,$-21.94,0.0
2022-06-30,7.03,$-28.21,0.0
2022-03-31,11.46,$-20.57,0.0
2021-12-31,13.44,$-31.09,0.0
2021-09-30,25.8,$-28.73,0.0
2021-06-30,35.8,$-19.34,0.0
2021-03-31,72.2,$-26.99,0.0
2020-12-31,124.8,$-23.76,0.0
2020-09-30,91.2,$-68.60,0.0
2020-06-30,163.4,$-112.86,0.0
2020-03-31,118.86,$-121.67,0.0
2019-12-31,180.72,$-150.52,0.0
2019-09-30,230.7,$-100.66,0.0
2019-06-30,299.94,$-109.95,0.0
2019-03-31,780.0,$-113.74,0.0
2018-12-31,439.56,$-84.65,0.0
2018-09-30,636.0,$-96.46,0.0
2018-06-30,768.0,$-69.46,0.0
2018-03-31,804.0,$-77.42,0.0
2017-12-31,1080.0,$-93.60,0.0
2017-09-30,498.0,$159.39,3.12
2017-06-30,469.56,$196.58,2.39
2017-03-31,720.0,$220.04,3.27
2016-12-31,399.6,$238.84,1.67
2016-09-30,390.0,$17.74,21.99
2016-06-30,482.88,$-15.03,0.0
2016-03-31,444.0,$-31.35,0.0
2015-12-31,409.44,$-54.70,0.0
2015-09-30,413.76,$-111.36,0.0
2015-06-30,636.0,$-129.03,0.0
2015-03-31,840.0,$-145.66,0.0
2014-12-31,1080.0,$-152.40,0.0
2014-09-30,2040.0,$-222.89,0.0
2014-06-30,3288.0,$-205.93,0.0
2014-03-31,3072.0,$-242.04,0.0
2013-12-31,4968.0,$-246.74,0.0
2013-09-30,2736.0,$-269.25,0.0
2013-06-30,5520.0,$-328.01,0.0
2013-03-31,5448.0,$-368.34,0.0
2012-12-31,5208.0,$-393.14,0.0
2012-09-30,9984.0,$-269.14,0.0
2012-06-30,9672.0,$-270.44,0.0
2012-03-31,7248.0,$-280.66,0.0
2011-12-31,6120.0,$-327.02,0.0
2011-09-30,6960.0,$-382.80,0.0
2011-06-30,7536.0,$-437.97,0.0
2011-03-31,9864.0,$-302.22,0.0
2010-12-31,12936.0,$-259.34,0.0
2010-09-30,8112.0,$-212.42,0.0
2010-06-30,7584.0,$-189.29,0.0
2010-03-31,9360.0,$-226.52,0.0
2009-12-31,5880.0,$-270.90,0.0
