Toyota Price to Free Cash Flow Ratio Historical Data,Toyota Price to Free Cash Flow Ratio Historical Data,Toyota Price to Free Cash Flow Ratio Historical Data,Toyota Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,192.17,,48.12
2024-06-30,202.03,$3.99,50.59
2024-03-31,248.07,$8.46,29.34
2023-12-31,180.75,$9.01,20.05
2023-09-30,177.17,$8.19,21.63
2023-06-30,156.72,$8.94,17.52
2023-03-31,138.14,$7.11,19.42
2022-12-31,130.82,$7.71,16.96
2022-09-30,124.79,$11.54,10.81
2022-06-30,145.75,$11.72,12.44
2022-03-31,170.4,$11.65,14.62
2021-12-31,173.07,$9.36,18.5
2021-09-30,166.01,$6.55,25.35
2021-06-30,161.47,$4.97,32.49
2021-03-31,144.13,$4.30,33.52
2020-12-31,140.51,$3.63,38.73
2020-09-30,120.4,$5.99,20.09
2020-06-30,112.52,$8.84,12.73
2020-03-31,107.43,$9.28,11.58
2019-12-31,123.67,$10.14,12.2
2019-09-30,118.35,$11.12,10.64
2019-06-30,107.66,$10.00,10.77
2019-03-31,102.48,$9.12,11.24
2018-12-31,99.17,$11.24,8.82
2018-09-30,106.24,$9.88,10.75
2018-06-30,108.52,$9.25,11.73
2018-03-31,109.83,$11.39,9.65
2017-12-31,105.36,$10.93,9.64
2017-09-30,98.73,$9.68,10.2
2017-06-30,85.72,$6.82,12.58
2017-03-31,88.66,$7.01,12.64
2016-12-31,93.98,$6.84,13.74
2016-09-30,93.07,$8.62,10.8
2016-06-30,78.99,$9.79,8.07
2016-03-31,83.99,$8.28,10.15
2015-12-31,95.43,$8.03,11.89
2015-09-30,90.96,$6.17,14.75
2015-06-30,102.29,$6.81,15.02
2015-03-31,106.98,$6.76,15.84
2014-12-31,95.96,$5.41,17.74
2014-09-30,89.88,$7.14,12.59
2014-06-30,91.51,$8.92,10.26
2014-03-31,86.34,$11.04,7.82
2013-12-31,91.62,$10.05,9.11
2013-09-30,96.21,$8.69,11.08
2013-06-30,89.86,$7.73,11.62
2013-03-31,76.44,$7.05,10.84
2012-12-31,68.61,$7.91,8.67
2012-09-30,57.76,$7.81,7.4
2012-06-30,58.72,$5.54,10.61
2012-03-31,63.34,$3.01,21.02
2011-12-31,47.86,$3.01,15.92
2011-09-30,49.4,$2.21,22.34
2011-06-30,59.24,$3.81,15.55
2011-03-31,57.68,$6.70,8.61
2010-12-31,56.05,$5.97,9.39
2010-09-30,51.02,$7.62,6.7
2010-06-30,48.56,$12.62,3.85
2010-03-31,56.96,$11.27,5.06
2009-12-31,58.82,$8.10,7.26
