PolyPid Price to Free Cash Flow Ratio Historical Data,PolyPid Price to Free Cash Flow Ratio Historical Data,PolyPid Price to Free Cash Flow Ratio Historical Data,PolyPid Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.85,,0.0
2024-12-31,3.04,$-3.73,0.0
2024-09-30,3.44,$-12.26,0.0
2024-06-30,4.3,$-8.23,0.0
2024-03-31,4.6,$-12.26,0.0
2023-12-31,3.8,$-12.26,0.0
2023-09-30,4.51,$-55.72,0.0
2023-06-30,0.37,$-28.31,0.0
2023-03-31,0.46,$-55.72,0.0
2022-12-31,0.7,$-55.72,0.0
2022-09-30,1.17,$-56.20,0.0
2022-06-30,4.64,$-67.01,0.0
2022-03-31,5.46,$-56.20,0.0
2021-12-31,5.74,$-56.20,0.0
2021-09-30,7.78,$-70.13,0.0
2021-06-30,9.06,$228.04,0.04
2021-03-31,9.16,$-70.13,0.0
