Prosperity Bancshares Price to Free Cash Flow Ratio Historical Data,Prosperity Bancshares Price to Free Cash Flow Ratio Historical Data,Prosperity Bancshares Price to Free Cash Flow Ratio Historical Data,Prosperity Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,70.54,,14.41
2024-12-31,75.35,$4.90,15.39
2024-09-30,71.55,$7.42,9.64
2024-06-30,60.23,$6.98,8.63
2024-03-31,64.18,$6.82,9.41
2023-12-31,65.48,$6.76,9.69
2023-09-30,52.33,$6.28,8.33
2023-06-30,53.64,$5.86,9.15
2023-03-31,57.88,$4.70,12.32
2022-12-31,67.78,$5.18,13.09
2022-09-30,61.69,$6.06,10.19
2022-06-30,62.7,$5.97,10.51
2022-03-31,63.23,$7.38,8.56
2021-12-31,65.41,$7.55,8.66
2021-09-30,63.89,$7.70,8.3
2021-06-30,64.01,$6.33,10.12
2021-03-31,66.33,$6.51,10.2
2020-12-31,61.06,$6.17,9.9
2020-09-30,45.29,$5.62,8.07
2020-06-30,51.44,$7.09,7.25
2020-03-31,41.49,$5.60,7.41
2019-12-31,61.31,$5.30,11.57
2019-09-30,59.85,$6.20,9.65
2019-06-30,55.65,$5.17,10.76
2019-03-31,57.83,$5.36,10.79
2018-12-31,51.88,$4.56,11.39
2018-09-30,57.38,$3.86,14.88
2018-06-30,56.28,$4.77,11.79
2018-03-31,59.5,$4.56,13.06
2017-12-31,57.14,$5.61,10.19
2017-09-30,53.32,$4.82,11.06
2017-06-30,51.82,$4.65,11.14
2017-03-31,55.95,$4.75,11.77
2016-12-31,57.34,$4.92,11.65
2016-09-30,43.63,$5.59,7.8
2016-06-30,40.3,$4.98,8.09
2016-03-31,36.45,$5.09,7.17
2015-12-31,37.35,$4.49,8.32
2015-09-30,38.1,$5.10,7.46
2015-06-30,44.55,$5.12,8.7
2015-03-31,40.3,$5.26,7.67
2014-12-31,42.3,$5.30,7.99
2014-09-30,43.46,$5.14,8.45
2014-06-30,47.41,$5.18,9.15
2014-03-31,49.9,$4.65,10.72
2013-12-31,47.64,$4.89,9.75
2013-09-30,46.29,$4.42,10.47
2013-06-30,38.63,$5.02,7.7
2013-03-31,35.19,$4.98,7.06
2012-12-31,31.04,$4.12,7.53
2012-09-30,31.34,$4.44,7.05
2012-06-30,30.76,$4.11,7.48
2012-03-31,33.36,$4.20,7.94
2011-12-31,29.26,$4.73,6.18
2011-09-30,23.58,$4.68,5.04
2011-06-30,31.46,$4.53,6.94
2011-03-31,30.57,$4.49,6.81
2010-12-31,27.95,$4.25,6.57
2010-09-30,23.0,$3.56,6.45
2010-06-30,24.49,$2.92,8.39
2010-03-31,28.76,$2.23,12.88
2009-12-31,28.28,$1.43,19.76
