ModivCare Price to Free Cash Flow Ratio Historical Data,ModivCare Price to Free Cash Flow Ratio Historical Data,ModivCare Price to Free Cash Flow Ratio Historical Data,ModivCare Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.18,,0.0
2024-12-31,11.84,$-2.39,0.0
2024-09-30,14.28,$-6.72,0.0
2024-06-30,26.24,$-3.68,0.0
2024-03-31,23.45,$-7.59,0.0
2023-12-31,43.99,$-8.84,0.0
2023-09-30,31.51,$-10.75,0.0
2023-06-30,45.21,$-14.99,0.0
2023-03-31,84.08,$-8.67,0.0
2022-12-31,89.73,$-3.09,0.0
2022-09-30,99.68,$1.71,58.39
2022-06-30,84.5,$2.92,28.91
2022-03-31,115.39,$7.24,15.94
2021-12-31,148.29,$11.78,12.59
2021-09-30,181.62,$16.09,11.29
2021-06-30,170.07,$24.86,6.84
2021-03-31,148.12,$30.71,4.82
2020-12-31,138.63,$24.58,5.64
2020-09-30,92.91,$21.33,4.36
2020-06-30,78.91,$13.49,5.85
2020-03-31,54.88,$3.86,14.23
2019-12-31,59.18,$3.86,15.31
2019-09-30,59.46,$1.06,55.89
2019-06-30,57.34,$1.99,28.86
2019-03-31,66.62,$0.57,117.58
2018-12-31,60.02,$-0.74,0.0
2018-09-30,67.28,$1.70,39.53
2018-06-30,78.55,$1.40,56.07
2018-03-31,69.14,$1.92,36.02
2017-12-31,59.34,$2.57,23.1
2017-09-30,54.08,$0.92,58.94
2017-06-30,50.61,$-0.94,0.0
2017-03-31,44.44,$0.68,65.12
2016-12-31,38.05,$0.11,354.28
2016-09-30,48.63,$-0.54,0.0
2016-06-30,44.88,$-0.89,0.0
2016-03-31,51.07,$-0.11,0.0
2015-12-31,46.92,$-1.19,0.0
2015-09-30,43.58,$0.68,64.56
2015-06-30,44.28,$2.00,22.12
2015-03-31,53.12,$2.27,23.37
2014-12-31,36.44,$2.05,17.76
2014-09-30,48.38,$1.90,25.52
2014-06-30,36.59,$1.94,18.86
2014-03-31,28.28,$1.57,18.0
2013-12-31,25.72,$3.19,8.06
2013-09-30,28.69,$2.84,10.12
2013-06-30,29.09,$3.61,8.06
2013-03-31,18.49,$4.05,4.56
2012-12-31,16.99,$2.47,6.88
2012-09-30,12.99,$2.16,6.01
2012-06-30,13.71,$1.25,10.97
2012-03-31,15.51,$1.04,14.93
2011-12-31,13.76,$1.48,9.29
2011-09-30,10.65,$1.46,7.32
2011-06-30,12.65,$1.92,6.59
2011-03-31,14.98,$2.21,6.78
2010-12-31,16.07,$2.26,7.12
2010-09-30,16.39,$3.84,4.27
2010-06-30,14.0,$4.42,3.17
2010-03-31,15.19,$4.73,3.21
2009-12-31,15.8,$4.34,3.64
