BP Price to Free Cash Flow Ratio Historical Data,BP Price to Free Cash Flow Ratio Historical Data,BP Price to Free Cash Flow Ratio Historical Data,BP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,34.75,,7.9
2024-12-31,29.56,$4.40,6.72
2024-09-30,30.88,$4.79,6.44
2024-06-30,35.01,$5.75,6.08
2024-03-31,36.11,$5.04,7.17
2023-12-31,33.52,$6.05,5.54
2023-09-30,36.21,$7.43,4.87
2023-06-30,32.61,$7.39,4.41
2023-03-31,34.68,$8.96,3.87
2022-12-31,31.62,$9.34,3.38
2022-09-30,25.56,$7.38,3.47
2022-06-30,25.1,$6.56,3.82
2022-03-31,25.74,$4.91,5.24
2021-12-31,23.08,$4.11,5.62
2021-09-30,23.41,$2.92,8.03
2021-06-30,22.34,$2.70,8.28
2021-03-31,20.35,$2.01,10.12
2020-12-31,16.91,$0.10,164.2
2020-09-30,14.11,$1.25,11.25
2020-06-30,18.6,$1.13,16.41
2020-03-31,18.95,$1.81,10.48
2019-12-31,28.82,$3.19,9.03
2019-09-30,28.57,$2.56,11.16
2019-06-30,30.85,$2.64,11.7
2019-03-31,32.35,$2.62,12.34
2018-12-31,27.65,$2.12,13.04
2018-09-30,33.61,$2.81,11.98
2018-06-30,32.83,$2.68,12.26
2018-03-31,28.77,$2.11,13.61
2017-12-31,29.39,$1.61,18.3
2017-09-30,26.48,$-0.12,0.0
2017-06-30,23.48,$-0.82,0.0
2017-03-31,23.0,$-1.23,0.0
2016-12-31,24.47,$-1.48,0.0
2016-09-30,22.61,$-0.66,0.0
2016-06-30,22.43,$-0.28,0.0
2016-03-31,18.71,$0.49,37.91
2015-12-31,18.97,$0.51,37.36
2015-09-30,18.25,$0.79,23.14
2015-06-30,23.47,$1.97,11.93
2015-03-31,22.65,$2.13,10.62
2014-12-31,21.76,$3.90,5.58
2014-09-30,24.73,$3.05,8.1
2014-06-30,29.32,$1.85,15.85
2014-03-31,26.43,$1.02,25.96
2013-12-31,26.4,$4.63,5.7
2013-09-30,22.55,$6.89,3.28
2013-06-30,22.11,$7.20,3.07
2013-03-31,22.16,$7.19,3.08
2012-12-31,21.51,$2.27,9.48
2012-09-30,21.61,$0.52,41.81
2012-06-30,20.45,$0.93,22.1
2012-03-31,22.42,$2.47,9.09
2011-12-31,21.07,$2.42,8.72
2011-09-30,17.61,$1.39,12.67
2011-06-30,21.42,$0.02,1151.66
2011-03-31,21.15,$-0.55,0.0
2010-12-31,20.97,$0.85,24.72
2010-09-30,19.54,$2.40,8.15
2010-06-30,13.71,$3.92,3.49
2010-03-31,26.65,$3.55,7.51
2009-12-31,26.66,$2.78,9.6
