Brookfield Infrastructure Partners LP Price to Free Cash Flow Ratio Historical Data,Brookfield Infrastructure Partners LP Price to Free Cash Flow Ratio Historical Data,Brookfield Infrastructure Partners LP Price to Free Cash Flow Ratio Historical Data,Brookfield Infrastructure Partners LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.75,,20.03
2024-09-30,34.64,$1.44,24.14
2024-06-30,26.79,$1.64,16.37
2024-03-31,30.05,$14.57,2.06
2023-12-31,29.88,$3.82,7.83
2023-09-30,27.49,$3.52,7.81
2023-06-30,33.72,$1.58,21.34
2023-03-31,30.87,$-12.44,0.0
2022-12-31,28.01,$0.87,32.32
2022-09-30,32.13,$-1.57,0.0
2022-06-30,33.92,$-4.73,0.0
2022-03-31,38.84,$1.37,28.25
2021-12-31,35.34,$1.77,19.91
2021-09-30,32.32,$10.05,3.22
2021-06-30,31.71,$5.42,5.85
2021-03-31,30.11,$0.70,43.18
2020-12-31,27.66,$2.50,11.08
2020-09-30,26.41,$0.57,46.68
2020-06-30,22.55,$9.93,2.27
2020-03-31,19.5,$9.13,2.14
2019-12-31,23.97,$2.33,10.28
2019-09-30,23.56,$-1.32,0.0
2019-06-30,20.17,$-2.16,0.0
2019-03-31,19.44,$-3.76,0.0
2018-12-31,15.83,$1.31,12.04
2018-09-30,18.28,$11.11,1.64
2018-06-30,17.4,$11.86,1.47
2018-03-31,18.64,$2.77,6.74
2017-12-31,19.82,$2.05,9.67
2017-09-30,18.9,$-8.63,0.0
2017-06-30,17.74,$-9.42,0.0
2017-03-31,16.59,$0.28,59.99
2016-12-31,14.19,$0.19,74.42
2016-09-30,14.52,$-0.70,0.0
2016-06-30,12.49,$-0.72,0.0
2016-03-31,11.47,$-0.18,0.0
2015-12-31,10.17,$0.34,29.87
2015-09-30,9.74,$0.63,15.42
2015-06-30,11.66,$1.03,11.38
2015-03-31,11.76,$1.08,10.9
2014-12-31,10.69,$0.75,14.34
2014-09-30,9.59,$0.74,12.97
2014-06-30,10.41,$0.68,15.23
2014-03-31,9.73,$0.77,12.69
2013-12-31,9.55,$0.81,11.77
2013-09-30,9.15,$0.64,14.32
2013-06-30,8.68,$0.73,11.9
2013-03-31,8.94,$0.21,41.71
2012-12-31,8.19,$-0.01,0.0
2012-09-30,8.17,$-0.92,0.0
2012-06-30,7.64,$-1.19,0.0
2012-03-31,7.1,$-0.81,0.0
2011-12-31,6.15,$-0.38,0.0
2011-09-30,5.33,$1.05,5.06
2011-06-30,5.41,$0.90,6.03
2011-03-31,4.69,$0.62,7.54
2010-12-31,4.38,$0.29,15.1
2010-09-30,3.98,$-0.22,0.0
2010-06-30,3.21,$-0.23,0.0
2010-03-31,3.43,$-0.14,0.0
2009-12-31,3.22,0,0.0
