Aspira Women's Health Price to Free Cash Flow Ratio Historical Data,Aspira Women's Health Price to Free Cash Flow Ratio Historical Data,Aspira Women's Health Price to Free Cash Flow Ratio Historical Data,Aspira Women's Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.1,,0.0
2024-09-30,0.81,$-1.17,0.0
2024-06-30,1.49,$-1.29,0.0
2024-03-31,3.1,$-1.41,0.0
2023-12-31,4.08,$-1.72,0.0
2023-09-30,5.36,$-2.21,0.0
2023-06-30,3.31,$-2.90,0.0
2023-03-31,5.49,$-3.34,0.0
2022-12-31,4.99,$-4.03,0.0
2022-09-30,5.58,$-4.15,0.0
2022-06-30,8.81,$-4.35,0.0
2022-03-31,15.6,$-4.36,0.0
2021-12-31,26.55,$-3.72,0.0
2021-09-30,48.75,$-3.44,0.0
2021-06-30,84.3,$-2.78,0.0
2021-03-31,101.25,$-2.45,0.0
2020-12-31,100.65,$-2.27,0.0
2020-09-30,46.28,$-2.18,0.0
2020-06-30,57.6,$-2.02,0.0
2020-03-31,12.49,$-2.18,0.0
2019-12-31,12.15,$-2.27,0.0
2019-09-30,7.84,$-2.19,0.0
2019-06-30,13.35,$-2.31,0.0
2019-03-31,17.25,$-2.06,0.0
2018-12-31,4.5,$-2.03,0.0
2018-09-30,10.65,$-2.00,0.0
2018-06-30,11.71,$-2.06,0.0
2018-03-31,20.4,$-2.07,0.0
2017-12-31,28.95,$-2.16,0.0
2017-09-30,27.0,$-2.38,0.0
2017-06-30,27.6,$-2.77,0.0
2017-03-31,31.35,$-3.45,0.0
2016-12-31,14.25,$-4.37,0.0
2016-09-30,19.5,$-5.57,0.0
2016-06-30,16.65,$-5.56,0.0
2016-03-31,22.05,$-6.20,0.0
2015-12-31,27.0,$-6.18,0.0
2015-09-30,30.0,$-5.91,0.0
2015-06-30,31.05,$-7.37,0.0
2015-03-31,26.55,$-7.20,0.0
2014-12-31,29.85,$-7.09,0.0
2014-09-30,26.85,$-7.85,0.0
2014-06-30,38.7,$-6.22,0.0
2014-03-31,44.25,$-5.45,0.0
2013-12-31,35.4,$-6.12,0.0
2013-09-30,38.55,$-6.07,0.0
2013-06-30,40.05,$-7.39,0.0
2013-03-31,18.0,$-9.90,0.0
2012-12-31,19.8,$-10.40,0.0
2012-09-30,25.35,$-13.40,0.0
2012-06-30,33.75,$-15.50,0.0
2012-03-31,30.3,$-15.71,0.0
2011-12-31,17.55,$-16.50,0.0
2011-09-30,39.15,$-14.30,0.0
2011-06-30,61.35,$-15.24,0.0
2011-03-31,69.02,$-24.90,0.0
2010-12-31,112.8,$-29.92,0.0
2010-09-30,82.8,$-32.89,0.0
2010-06-30,182.85,$-27.89,0.0
2010-03-31,431.25,$-14.68,0.0
2009-12-31,411.75,$-6.22,0.0
