Worksport Price to Free Cash Flow Ratio Historical Data,Worksport Price to Free Cash Flow Ratio Historical Data,Worksport Price to Free Cash Flow Ratio Historical Data,Worksport Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.39,,0.0
2024-09-30,0.43,$-0.50,0.0
2024-06-30,0.78,$-0.64,0.0
2024-03-31,0.58,$-0.79,0.0
2023-12-31,1.49,$-0.88,0.0
2023-09-30,2.1,$-0.82,0.0
2023-06-30,2.44,$-0.79,0.0
2023-03-31,1.45,$-1.19,0.0
2022-12-31,1.0,$-1.11,0.0
2022-09-30,1.74,$-1.22,0.0
2022-06-30,1.93,$-1.29,0.0
