Sony Price to Free Cash Flow Ratio Historical Data,Sony Price to Free Cash Flow Ratio Historical Data,Sony Price to Free Cash Flow Ratio Historical Data,Sony Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.89,,16.49
2024-12-31,21.16,$1.51,14.02
2024-09-30,19.31,$1.29,14.92
2024-06-30,16.93,$0.66,25.56
2024-03-31,17.09,$0.85,20.11
2023-12-31,18.81,$0.78,24.07
2023-09-30,16.37,$0.15,106.1
2023-06-30,17.83,$0.16,113.56
2023-03-31,17.95,$-0.34,0.0
2022-12-31,15.06,$-0.11,0.0
2022-09-30,12.64,$0.31,40.57
2022-06-30,16.08,$0.33,49.06
2022-03-31,20.19,$1.14,17.66
2021-12-31,24.8,$1.14,21.77
2021-09-30,21.7,$0.86,25.24
2021-06-30,19.03,$1.44,13.2
2021-03-31,20.75,$1.28,16.17
2020-12-31,19.75,$1.39,14.21
2020-09-30,15.0,$1.55,9.66
2020-06-30,13.47,$1.45,9.27
2020-03-31,11.53,$1.35,8.51
2019-12-31,13.2,$1.18,11.19
2019-09-30,11.47,$1.32,8.67
2019-06-30,10.13,$1.20,8.46
2019-03-31,8.17,$1.34,6.1
2018-12-31,9.3,$1.74,5.36
2018-09-30,11.68,$1.64,7.13
2018-06-30,9.85,$1.51,6.53
2018-03-31,9.29,$1.47,6.34
2017-12-31,8.61,$1.29,6.66
2017-09-30,7.16,$1.10,6.52
2017-06-30,7.3,$0.84,8.73
2017-03-31,6.44,$0.71,9.13
2016-12-31,5.34,$0.50,10.69
2016-09-30,6.33,$0.50,12.63
2016-06-30,5.58,$0.72,7.78
2016-03-31,4.89,$0.53,9.25
2015-12-31,4.66,$0.67,6.96
2015-09-30,4.64,$0.71,6.54
2015-06-30,5.36,$0.55,9.78
2015-03-31,5.05,$0.94,5.38
2014-12-31,3.86,$1.11,3.48
2014-09-30,3.41,$1.12,3.04
2014-06-30,3.17,$1.20,2.65
2014-03-31,3.61,$0.94,3.86
2013-12-31,3.26,$0.91,3.57
2013-09-30,4.06,$0.82,4.93
2013-06-30,3.98,$0.78,5.11
2013-03-31,3.27,$0.73,4.48
2012-12-31,2.09,$0.34,6.16
2012-09-30,2.18,$0.25,8.82
2012-06-30,2.62,$0.42,6.32
2012-03-31,3.83,$0.39,9.87
2011-12-31,3.3,$0.45,7.34
2011-09-30,3.47,$0.84,4.13
2011-06-30,4.79,$0.79,6.03
2011-03-31,5.78,$0.89,6.5
2010-12-31,6.45,$1.20,5.36
2010-09-30,5.58,$1.15,4.86
2010-06-30,4.79,$1.19,4.04
2010-03-31,6.89,$1.28,5.37
2009-12-31,5.19,$1.40,3.7
