IBEX Price to Free Cash Flow Ratio Historical Data,IBEX Price to Free Cash Flow Ratio Historical Data,IBEX Price to Free Cash Flow Ratio Historical Data,IBEX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,25.22,,17.69
2024-12-31,21.49,$1.43,15.08
2024-09-30,19.98,$1.37,14.62
2024-06-30,16.18,$1.48,10.92
2024-03-31,15.43,$1.39,11.13
2023-12-31,19.01,$1.36,13.97
2023-09-30,15.45,$1.46,10.61
2023-06-30,21.23,$1.21,17.51
2023-03-31,24.4,$1.23,19.88
2022-12-31,24.85,$1.04,24.0
2022-09-30,18.57,$0.76,24.57
2022-06-30,16.87,$0.75,22.42
2022-03-31,15.94,$-0.16,0.0
2021-12-31,12.89,$-0.04,0.0
2021-09-30,17.0,$0.27,62.02
2021-06-30,19.52,$0.36,54.89
