Intevac Price to Free Cash Flow Ratio Historical Data,Intevac Price to Free Cash Flow Ratio Historical Data,Intevac Price to Free Cash Flow Ratio Historical Data,Intevac Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.04,,19.22
2024-12-31,3.4,$0.21,16.18
2024-09-30,3.4,$0.14,25.02
2024-06-30,3.86,$-0.18,0.0
2024-03-31,3.84,$-0.75,0.0
2023-12-31,4.32,$-1.55,0.0
2023-09-30,3.11,$-2.21,0.0
2023-06-30,3.75,$-1.33,0.0
2023-03-31,7.33,$-1.25,0.0
2022-12-31,6.47,$-0.37,0.0
2022-09-30,4.65,$0.09,51.9
2022-06-30,4.84,$-0.65,0.0
2022-03-31,5.35,$-0.32,0.0
2021-12-31,4.71,$-0.04,0.0
2021-09-30,4.78,$0.00,0.0
2021-06-30,6.74,$0.32,21.31
2021-03-31,7.15,$0.36,19.85
2020-12-31,7.21,$0.26,27.35
2020-09-30,5.51,$0.46,12.1
2020-06-30,5.46,$0.12,44.07
2020-03-31,4.09,$0.01,0.0
2019-12-31,7.06,$0.04,196.66
2019-09-30,5.24,$-0.40,0.0
2019-06-30,4.84,$0.02,234.95
2019-03-31,6.13,$0.02,315.98
2018-12-31,5.23,$-0.22,0.0
2018-09-30,5.2,$-0.07,0.0
2018-06-30,4.85,$-0.27,0.0
2018-03-31,6.9,$-0.35,0.0
2017-12-31,6.85,$-0.29,0.0
2017-09-30,8.45,$0.07,126.69
2017-06-30,11.1,$0.05,207.87
2017-03-31,12.5,$0.06,211.15
2016-12-31,8.55,$0.03,286.91
2016-09-30,5.9,$-0.26,0.0
2016-06-30,5.68,$-0.36,0.0
2016-03-31,4.5,$-0.16,0.0
2015-12-31,4.71,$-0.11,0.0
2015-09-30,4.6,$-0.20,0.0
2015-06-30,5.85,$-0.12,0.0
2015-03-31,6.14,$-0.15,0.0
2014-12-31,7.77,$-0.27,0.0
2014-09-30,6.67,$-0.24,0.0
2014-06-30,8.01,$-0.44,0.0
2014-03-31,9.7,$-0.69,0.0
2013-12-31,7.43,$-0.44,0.0
2013-09-30,5.86,$-0.66,0.0
2013-06-30,5.66,$-0.68,0.0
2013-03-31,4.72,$-0.69,0.0
2012-12-31,4.57,$-0.99,0.0
2012-09-30,6.11,$-1.02,0.0
2012-06-30,7.52,$-0.79,0.0
2012-03-31,8.5,$-0.78,0.0
2011-12-31,7.4,$-0.94,0.0
2011-09-30,6.99,$-0.21,0.0
2011-06-30,10.21,$1.35,7.57
2011-03-31,12.41,$0.50,25.03
2010-12-31,14.01,$1.93,7.27
2010-09-30,10.01,$1.11,9.03
2010-06-30,10.67,$-0.46,0.0
2010-03-31,13.82,$0.28,49.18
2009-12-31,11.47,$-0.87,0.0
