ConocoPhillips Price to Free Cash Flow Ratio Historical Data,ConocoPhillips Price to Free Cash Flow Ratio Historical Data,ConocoPhillips Price to Free Cash Flow Ratio Historical Data,ConocoPhillips Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,102.31,,14.61
2024-12-31,99.17,$7.00,14.17
2024-09-30,104.55,$8.05,12.99
2024-06-30,112.79,$8.15,13.84
2024-03-31,124.51,$7.45,16.71
2023-12-31,112.75,$7.75,14.54
2023-09-30,115.79,$8.97,12.92
2023-06-30,99.22,$11.77,8.43
2023-03-31,93.97,$15.88,5.92
2022-12-31,110.58,$16.92,6.54
2022-09-30,94.97,$17.68,5.37
2022-06-30,81.85,$15.39,5.32
2022-03-31,90.06,$12.61,7.14
2021-12-31,64.5,$10.03,6.43
2021-09-30,60.02,$6.67,8.99
2021-06-30,53.52,$3.30,16.2
2021-03-31,46.18,$1.04,44.48
2020-12-31,34.55,$1.30,26.52
2020-09-30,28.01,$2.00,14.04
2020-06-30,35.47,$4.87,7.28
2020-03-31,25.75,$6.36,4.05
2019-12-31,53.98,$6.66,8.11
2019-09-30,46.94,$7.81,6.01
2019-06-30,49.99,$6.81,7.34
2019-03-31,54.43,$6.53,8.33
2018-12-31,50.62,$6.18,8.19
2018-09-30,62.58,$4.59,13.63
2018-06-30,56.06,$5.57,10.06
2018-03-31,47.55,$13.57,3.5
2017-12-31,43.78,$13.39,3.27
2017-09-30,39.7,$13.61,2.92
2017-06-30,34.66,$11.33,3.06
2017-03-31,39.1,$2.36,16.55
2016-12-31,39.11,$0.66,59.4
2016-09-30,33.7,$0.48,69.95
2016-06-30,33.6,$-0.02,0.0
2016-03-31,30.86,$-0.56,0.0
2015-12-31,35.5,$-0.42,0.0
2015-09-30,35.98,$-2.40,0.0
2015-06-30,45.45,$-1.71,0.0
2015-03-31,45.56,$-2.01,0.0
2014-12-31,50.0,$0.87,57.31
2014-09-30,54.85,$7.42,7.39
2014-06-30,60.92,$7.72,7.89
2014-03-31,49.56,$8.73,5.68
2013-12-31,49.24,$8.73,5.64
2013-09-30,47.98,$3.63,13.23
2013-06-30,41.33,$3.45,11.99
2013-03-31,40.63,$2.37,17.15
2012-12-31,38.76,$1.50,25.81
2012-09-30,37.78,$4.05,9.34
2012-06-30,36.49,$5.23,6.98
2012-03-31,37.66,$8.58,4.39
2011-12-31,35.78,$8.03,4.45
2011-09-30,30.79,$10.47,2.94
2011-06-30,36.24,$14.27,2.54
2011-03-31,38.15,$16.38,2.33
2010-12-31,32.25,$16.52,1.95
2010-09-30,26.95,$13.03,2.07
2010-06-30,22.8,$8.11,2.81
2010-03-31,23.52,$3.29,7.16
2009-12-31,23.23,$1.93,12.05
