Kingsoft Cloud Holdings Price to Free Cash Flow Ratio Historical Data,Kingsoft Cloud Holdings Price to Free Cash Flow Ratio Historical Data,Kingsoft Cloud Holdings Price to Free Cash Flow Ratio Historical Data,Kingsoft Cloud Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.48,,31.3
2024-09-30,2.94,$0.53,5.58
2024-06-30,2.51,$-0.48,0.0
2024-03-31,3.04,$0.45,6.83
2023-06-30,6.1,$0.62,9.91
2022-12-31,3.83,$-0.72,0.0
2022-09-30,1.99,$-1.83,0.0
2022-06-30,4.45,$-1.79,0.0
2022-03-31,6.07,$-1.44,0.0
2021-12-31,15.75,$-0.97,0.0
2021-09-30,28.32,$-1.77,0.0
2021-06-30,33.93,$-1.77,0.0
2021-03-31,39.32,$-2.11,0.0
