Alpine Income Property Trust Price to Free Cash Flow Ratio Historical Data,Alpine Income Property Trust Price to Free Cash Flow Ratio Historical Data,Alpine Income Property Trust Price to Free Cash Flow Ratio Historical Data,Alpine Income Property Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.45,,21.99
2024-12-31,16.79,$0.75,22.44
2024-09-30,17.91,$4.28,4.18
2024-06-30,15.08,$1.51,9.96
2024-03-31,14.54,$-0.44,0.0
2023-12-31,15.81,$3.05,5.18
2023-09-30,15.06,$1.90,7.91
2023-06-30,14.72,$2.73,5.39
2023-03-31,14.99,$7.32,2.05
2022-12-31,16.74,$-1.03,0.0
2022-09-30,14.03,$-8.56,0.0
2022-06-30,15.27,$-12.11,0.0
2022-03-31,15.78,$-18.30,0.0
2021-12-31,16.59,$-15.90,0.0
2021-09-30,14.98,$3.25,4.6
2021-06-30,15.31,$3.69,4.14
2021-03-31,13.77,$3.89,3.55
2020-12-31,11.73,$1.08,10.84
2020-09-30,11.99,$-10.19,0.0
