Tilly's Price to Free Cash Flow Ratio Historical Data,Tilly's Price to Free Cash Flow Ratio Historical Data,Tilly's Price to Free Cash Flow Ratio Historical Data,Tilly's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.34,,0.0
2024-10-31,4.02,$-1.48,0.0
2024-07-31,5.86,$-1.01,0.0
2024-04-30,6.07,$-1.17,0.0
2024-01-31,7.34,$-0.69,0.0
2023-10-31,8.1,$-0.48,0.0
2023-07-31,8.67,$-0.42,0.0
2023-04-30,7.51,$-1.26,0.0
2023-01-31,8.86,$-0.55,0.0
2022-10-31,8.86,$-0.30,0.0
2022-07-31,7.57,$0.21,35.56
2022-04-30,8.82,$0.51,17.42
2022-01-31,13.18,$1.61,8.2
2021-10-31,13.04,$1.68,7.76
2021-07-31,13.94,$1.46,9.52
2021-04-30,10.66,$2.26,4.73
2021-01-31,8.66,$1.02,8.45
2020-10-31,5.43,$0.77,7.07
2020-07-31,5.31,$0.92,5.75
2020-04-30,5.21,$0.14,36.35
2020-01-31,6.67,$0.74,8.97
2019-10-31,8.05,$1.24,6.49
2019-07-31,6.43,$0.87,7.43
2019-04-30,9.23,$0.97,9.54
2019-01-31,8.76,$1.07,8.19
2018-10-31,12.83,$0.67,19.07
2018-07-31,11.21,$1.31,8.56
2018-04-30,8.11,$0.85,9.49
2018-01-31,10.04,$0.65,15.4
2017-10-31,8.02,$1.21,6.63
2017-07-31,6.72,$1.11,6.06
2017-04-30,6.43,$1.26,5.12
2017-01-31,8.53,$1.10,7.72
2016-10-31,5.91,$1.05,5.64
2016-07-31,3.62,$0.72,5.0
2016-04-30,4.0,$0.34,11.73
2016-01-31,4.13,$0.49,8.47
2015-10-31,4.64,$0.44,10.44
2015-07-31,5.76,$0.60,9.63
2015-04-30,8.49,$0.87,9.74
2015-01-31,8.74,$0.88,9.94
2014-10-31,4.53,$0.40,11.41
2014-07-31,4.82,$0.18,27.36
2014-04-30,7.19,$0.07,107.34
2014-01-31,7.39,$0.04,177.19
2013-10-31,9.27,$-0.02,0.0
2013-07-31,9.34,$0.12,80.47
2013-04-30,9.19,$0.02,454.96
