Offerpad Solutions Price to Free Cash Flow Ratio Historical Data,Offerpad Solutions Price to Free Cash Flow Ratio Historical Data,Offerpad Solutions Price to Free Cash Flow Ratio Historical Data,Offerpad Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.84,,3.25
2024-12-31,2.85,$0.57,5.04
2024-09-30,4.06,$-0.74,0.0
2024-06-30,4.42,$-5.62,0.0
2024-03-31,8.1,$-8.03,0.0
2023-12-31,10.25,$9.91,1.03
2023-09-30,9.76,$34.41,0.28
2023-06-30,12.96,$38.76,0.33
2023-03-31,0.53,$20.50,0.03
2022-12-31,0.46,$18.62,0.02
2022-09-30,1.21,$-10.81,0.0
2022-06-30,2.18,$-84.17,0.0
2022-03-31,5.03,$-69.59,0.0
2021-12-31,6.4,$-97.78,0.0
2021-09-30,8.72,$-92.60,0.0
