TORM Price to Free Cash Flow Ratio Historical Data,TORM Price to Free Cash Flow Ratio Historical Data,TORM Price to Free Cash Flow Ratio Historical Data,TORM Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.21,,4.93
2024-12-31,19.45,$3.89,4.99
2024-09-30,32.4,$6.00,5.4
2024-06-30,34.99,$7.35,4.76
2024-03-31,29.12,$5.45,5.34
2023-12-31,25.34,$5.33,4.76
2023-09-30,21.93,$6.11,3.59
2023-06-30,18.15,$6.05,3.0
2023-03-31,22.17,$6.24,3.55
2022-12-31,19.26,$5.91,3.26
2022-09-30,12.75,$2.67,4.77
2022-06-30,8.27,$-0.14,0.0
2022-03-31,5.41,$-3.25,0.0
2021-12-31,4.86,$-3.34,0.0
2021-09-30,4.72,$-3.39,0.0
2021-06-30,5.38,$-1.22,0.0
2021-03-31,5.56,$1.68,3.31
2020-12-31,4.3,$1.97,2.18
2020-09-30,4.16,$1.64,2.54
2020-06-30,3.67,$-1.37,0.0
2020-03-31,4.05,$-2.76,0.0
2019-12-31,5.8,$-2.05,0.0
2019-09-30,4.55,$-1.69,0.0
2019-06-30,4.82,$-0.20,0.0
2019-03-31,4.01,$-0.04,0.0
2018-12-31,3.15,$-1.43,0.0
