Datasea Price to Free Cash Flow Ratio Historical Data,Datasea Price to Free Cash Flow Ratio Historical Data,Datasea Price to Free Cash Flow Ratio Historical Data,Datasea Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.08,,0.0
2024-12-31,2.29,$-0.47,0.0
2024-09-30,2.5,$0.79,3.18
2024-06-30,4.5,$-2.47,0.0
2024-03-31,7.7,$-2.69,0.0
2023-12-31,3.52,$-3.02,0.0
2023-09-30,3.12,$-4.86,0.0
2023-06-30,13.76,$-1.89,0.0
2023-03-31,18.3,$-2.06,0.0
2022-12-31,22.5,$-1.93,0.0
2022-09-30,22.35,$-2.81,0.0
2022-06-30,24.45,$-3.25,0.0
2022-03-31,42.0,$-3.30,0.0
2021-12-31,23.4,$-3.93,0.0
2021-09-30,31.65,$-3.10,0.0
2021-06-30,37.5,$-2.88,0.0
2021-03-31,48.75,$-2.88,0.0
2020-12-31,30.0,$-2.58,0.0
2020-09-30,47.25,$-2.49,0.0
2020-06-30,31.2,$-3.49,0.0
2020-03-31,28.5,$-2.18,0.0
2019-12-31,45.75,$-1.98,0.0
2019-09-30,14.1,$-2.01,0.0
